Name	ItemGenre	DetailType	ParticularType	Descript
黄金图谱-碧海之环珠宣清巾	6	1	290	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>孔雀石：增加雷防最大点数8级以上<enter>芙蓉石：减少中毒时间值8级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>翠烟双刀
黄金图谱-碧海之红铃金丝带	6	1	291	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>武林秘籍<enter>芙蓉石：增加雷防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>翠烟双刀
黄金图谱-碧海之红铃波	6	1	292	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数6级以上<enter>秘银矿：增加内力最大值点数7级以上<enter>钟乳石：增加火防最大值6级以上<enter>玄铁矿：受近身攻击时伤害反弹7级以上<enter>秘银矿：减少受伤动作时间7级以上<enter>翠烟双刀
黄金图谱-碧海之纤细指环	6	1	293	。
黄金图谱-幽胧之金蛇发带	6	1	294	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>五毒掌法·卷一<enter>朱砂矿：增加内力最大值点数8级以上<enter>芙蓉石：增加内功系毒攻伤害点数8级以上<enter>武林秘籍
黄金图谱-幽胧之赤蝎秘装	6	1	295	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>孔雀石：增加普防8级以上<enter>秘银矿：减少受伤动作时间8级以上<enter>钟乳石：减少眩晕时间8级以上<enter>五毒掌法·卷一
黄金图谱-幽胧之青蜈缠腰	6	1	296	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>钟乳石：减少眩晕时间8级以上<enter>五毒掌法·卷一
黄金图谱-幽胧之银蟾护手	6	1	297	。
黄金图谱-幽胧之墨蛛软履	6	1	298	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数6级以上<enter>芙蓉石：增加外功点数7级以上<enter>芙蓉石：增加雷防最大值7级以上<enter>秘银矿：增加移动速度7级以上<enter>五毒掌法·卷一
黄金图谱-冥幻之邪刹毒刃	6	1	299	所需材料<color=yellow><enter>武林秘籍<enter>秘银矿：命中吸取其内力百分比7级以上<enter>朱砂矿：增加外攻系武功出招动作7级以上<enter>孔雀石：增加外功系普攻伤害点数8级以上<enter>芙蓉石：增加外功系冰攻伤害点数7级以上<enter>五毒刀法·卷二
黄金图谱-冥幻之幽蛊暗衣	6	1	300	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>五毒刀法·卷二<enter>秘银矿：减少受伤动作时间7级以上<enter>芙蓉石：增加普防最大值6级以上<enter>朱砂矿：增加内力最大值7级以上<enter>钟乳石：减少眩晕时间6级以上
黄金图谱-冥幻之毒蝎指环	6	1	301	。
黄金图谱-冥幻之腐骨护腕	6	1	302	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>武林秘籍<enter>芙蓉石：增加普防最大值7级以上<enter>五毒刀法·卷二
黄金图谱-冥幻之双环蛇扣	6	1	303	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>孔雀石：增加冰防最大值8级以上<enter>芙蓉石：减少中毒时间8级以上<enter>秘银矿：增加内力最大值点数8级以上<enter>五毒刀法·卷二
黄金图谱-咒缚之破甲头环	6	1	304	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>五毒慑心术·卷三<enter>秘银矿：增加内力最大值点数7级以上<enter>芙蓉石：增加普防最大值6级以上<enter>武林秘籍<enter>钟乳石：减少眩晕时间6级以上
黄金图谱-咒缚之灭雷颈符	6	1	305	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>五毒慑心术·卷三<enter>朱砂矿：增加内力最大值点数8级以上<enter>孔雀石：增加毒防最大值8级以上<enter>芙蓉石：增加普防最大值8级以上<enter>朱砂矿：增加所有抗性7级以上
黄金图谱-咒缚之幽幻指环	6	1	306	。
黄金图谱-咒缚之穿心毒腕	6	1	307	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>芙蓉石：增加冰防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>钟乳石：减少眩晕时间7级以上<enter>五毒慑心术·卷三
黄金图谱-咒缚之蚀骨玉佩	6	1	308	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>孔雀石：增加冰防最大值8级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>芙蓉石：减少中毒时间8级以上<enter>五毒慑心术·卷三
黄金图谱-冰寒之弹指飞刀	6	1	309	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>秘银矿：增加外功系普攻伤害百分比7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>玄铁矿：增加外攻系武功出招动作8级以上<enter>芙蓉石：增加外功系普攻伤害点数7级以上<enter>武林秘籍
黄金图谱-冰寒之玄衣束甲	6	1	310	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>飞刀术·摄魂月影<enter>秘银矿：减少受伤动作时间7级以上<enter>芙蓉石：增加普防最大值6级以上<enter>朱砂矿：增加内力最大值6级以上<enter>武林秘籍
黄金图谱-冰寒之心箭腰扣	6	1	311	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>钟乳石：减少眩晕时间8级以上<enter>飞刀术·摄魂月影
黄金图谱-冰寒之玄天冰火佩	6	1	312	。
黄金图谱-冰寒之月影靴	6	1	313	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>秘银矿：增加移动速度8级以上<enter>芙蓉石：增加火防最大值8级以上<enter>秘银矿：增加内力最大值点数8级以上<enter>飞刀术·摄魂月影
黄金图谱-天光之花雨漫天	6	1	314	所需材料<color=yellow><enter>玄铁矿：增加内力最大值点数8级以上<enter>秘银矿：增加外功系普攻伤害百分比7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>玄铁矿：增加外攻系武功出招动作8级以上<enter>芙蓉石：增加外功系普攻伤害点数7级以上<enter>武林秘籍
黄金图谱-天光之定心凝神符	6	1	315	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数7级以上<enter>孔雀石：增加普防最大值8级以上<enter>袖箭术·暴雨梨花<enter>秘银矿：增加所有抗性7级以上<enter>朱砂矿：增加内力最大值点数6级以上<enter>武林秘籍
黄金图谱-天光之森罗束腰	6	1	316	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>武林秘籍<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>袖箭术·暴雨梨花
黄金图谱-天光之地行千里靴	6	1	317	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>秘银矿：增加移动速度8级以上<enter>芙蓉石：增加火防最大值8级以上<enter>秘银矿：增加内力最大值点数8级以上<enter>袖箭术·暴雨梨花
黄金图谱-天光之束天缚地环	6	1	318	。
黄金图谱-森荒之飞星夺魂	6	1	319	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>秘银矿：增加外功系普攻伤害百分比7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>玄铁矿：增加外攻系武功出招动作8级以上<enter>芙蓉石：增加外功系普攻伤害点数7级以上<enter>武林秘籍
黄金图谱-森荒之金钱连环甲	6	1	320	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>秘银矿：减少受伤动作时间8级以上<enter>芙蓉石：增加火防最大值8级以上<enter>朱砂矿：增加内力最大值8级以上<enter>飞镖术·九宫飞星
黄金图谱-森荒之魂咬腰束	6	1	321	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>钟乳石：减少眩晕时间8级以上<enter>飞镖术·九宫飞星
黄金图谱-森荒之玄铁镶玉佩	6	1	322	。
黄金图谱-森荒之星陨飞履	6	1	323	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>飞镖术·九宫飞星<enter>秘银矿：增加移动速度7级以上<enter>芙蓉石：增加雷防最大值6级以上<enter>朱砂矿：增加内力最大值点数7级以上<enter>武林秘籍
黄金图谱-地魄之五行连环冠	6	1	324	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>陷阱术·乱环击<enter>芙蓉石：减少迟缓时间6级以上<enter>芙蓉石：增加雷防最大值7级以上<enter>朱砂矿：增加内力最大值点数7级以上<enter>武林秘籍
黄金图谱-地魄之黑焰冲天链	6	1	325	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数7级以上<enter>陷阱术·乱环击<enter>朱砂矿：增加内力最大值点数8级以上<enter>武林秘籍<enter>芙蓉石：增加普防最大值8级以上<enter>朱砂矿：增加所有抗性7级以上
黄金图谱-地魄之霹雳雷火戒	6	1	326	。
黄金图谱-地魄之扣心镯	6	1	327	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>钟乳石：减少眩晕时间8级以上<enter>陷阱术·乱环击
黄金图谱-地魄之风寒束腰	6	1	328	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>孔雀石：增加冰防最大值8级以上<enter>芙蓉石：减少中毒时间8级以上<enter>秘银矿：增加内力最大值点数8级以上<enter>陷阱术·乱环击
黄金图谱-同仇之御龙玉佩	6	1	329	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>孔雀石：增加普防最大值8级以上<enter>秘银矿：增加内力最大值点数8级以上<enter>芙蓉石：减少中毒时间8级以上<enter>丐帮掌法
黄金图谱-同仇之降龙丐衣	6	1	330	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数7级以上<enter>秘银矿：增加内力最大值点数7级以上<enter>钟乳石：增加外功最大值点数6级以上<enter>孔雀石：增加普防最大值8级以上<enter>秘银矿：减少受伤动作时间7级以上<enter>丐帮掌法
黄金图谱-同仇之潜龙腰带	6	1	331	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：增加冰防最大值7级以上<enter>芙蓉石：减少迟缓时间8级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>芙蓉石：减少中毒时间8级以上<enter>丐帮掌法
黄金图谱-同仇之亢龙护手	6	1	332	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数7级以上<enter>丐帮掌法<enter>朱砂矿：增加内力最大值点数8级以上<enter>芙蓉石：增加内功系火攻伤害点数8级以上<enter>武林秘籍
黄金图谱-同仇之见龙扳指	6	1	333	。
黄金图谱-敌忾之绿玉杖	6	1	334	所需材料<color=yellow><enter>武林秘籍<enter>秘银矿：命中吸取其内力百分比8级以上<enter>朱砂矿：增加外攻系武功出招动作7级以上<enter>孔雀石：增加外功系普攻伤害点数8级以上<enter>芙蓉石：增加外功系冰攻伤害点数8级以上<enter>丐帮棍法
黄金图谱-敌忾之九袋丐衣	6	1	335	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>秘银矿：增加内力最大值点数8级以上<enter>孔雀石：增加普防最大值8级以上<enter>秘银矿：减少受伤动作时间8级以上<enter>丐帮棍法
黄金图谱-敌忾之缠莽腰带	6	1	336	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>武林秘籍<enter>芙蓉石：增加冰防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>丐帮棍法
黄金图谱-敌忾之狗脊皮护腕	6	1	337	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少眩晕时间7级以上<enter>武林秘籍<enter>芙蓉石：增加冰防最大值7级以上<enter>朱砂矿：增加内力最大值7级以上<enter>芙蓉石：减少中毒时间最大值6级以上
黄金图谱-敌忾之草间石戒	6	1	338	。
黄金图谱-魔煞之鬼谷幽冥枪	6	1	339	所需材料<color=yellow><enter>玄铁矿：增加外功系普攻伤害百分比8级以上<enter>秘银矿：增加攻击命中率点数7级以上<enter>朱砂矿：增加外攻系武功出招动作6级以上<enter>孔雀石：增加外功系普攻伤害点数7级以上<enter>芙蓉石：增加外功系冰攻伤害点数7级以上<enter>武林秘籍
黄金图谱-魔煞之残阳映血甲	6	1	340	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>秘银矿：减少受伤动作时间7级以上<enter>芙蓉石：减少眩晕时间6级以上<enter>芙蓉石：增加雷防最大值7级以上<enter>朱砂矿：增加内力最大值7级以上<enter>武林秘籍
黄金图谱-魔煞之赤骥锁腰扣	6	1	341	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>孔雀石：减少迟缓时间8级以上<enter>芙蓉石：减少眩晕时间8级以上<enter>芙蓉石：增加冰防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>云龙击·矛法
黄金图谱-魔煞之举火燎天环	6	1	342	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>武林秘籍<enter>孔雀石：增加普防最大值8级以上<enter>芙蓉石：减少中毒时间8级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>云龙击·矛法
黄金图谱-魔煞之云龙吐珠戒	6	1	343	。
黄金图谱-魔嗜之烈焰冠冕	6	1	344	所需材料<color=yellow><enter>玄铁矿：增加生命最大值点数8级以上<enter>流星·刀法<enter>芙蓉石：减少眩晕时间7级以上<enter>芙蓉石：增加普防最大值7级以上<enter>朱砂矿：增加内力最大值点数8级以上<enter>武林秘籍
