TaskName	AwardType	AwardText	Genre	Detail	Particular	Level	GoodsFive	Quality	RandomSeed	GoodsNum	MoneyNum	ExpNum	ReputeNum	AwardTask	SelectEvent	ArrayID	ArrayRate	AilledAward
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (Nga Mi) 	vËt phÈm 	TÈy Tñy Kinh	6	1	22	1	0			1						1	3	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (Nga Mi) 	vËt phÈm 	Vâ L©m MËt TŞch	6	1	26	1	0			1						1	3	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (Nga Mi) 	kinh nghiÖm 	1000000 kinh nghiÖm										1000000						

NgÉu nhiªn_MËt §å_Thu thËpThóy Yªn MËt tŞch kü n¨ng	vËt phÈm 	Tö Thñy Tinh	4	239	1	1	0			1						1	98	
NgÉu nhiªn_MËt §å_Thu thËpThóy Yªn MËt tŞch kü n¨ng	vËt phÈm 	TÈy Tñy Kinh	6	1	22	1	0			1						1	1	
NgÉu nhiªn_MËt §å_Thu thËpThóy Yªn MËt tŞch kü n¨ng	vËt phÈm 	Vâ L©m MËt TŞch	6	1	26	1	0			1						1	1	
NgÉu nhiªn_MËt §å_Thu thËpThóy Yªn MËt tŞch kü n¨ng	kinh nghiÖm 	1000000 kinh nghiÖm										1000000						

NgÉu nhiªn_MËt §å_Thu thËpC¸i Bang MËt tŞch kü n¨ng	vËt phÈm 	Tö Thñy Tinh	4	239	1	1	0			1						1	95	
NgÉu nhiªn_MËt §å_Thu thËpC¸i Bang MËt tŞch kü n¨ng	vËt phÈm 	TÈy Tñy Kinh	6	1	22	1	0			1						1	3	
NgÉu nhiªn_MËt §å_Thu thËpC¸i Bang MËt tŞch kü n¨ng	vËt phÈm 	Vâ L©m MËt TŞch	6	1	26	1	0			1						1	2	
NgÉu nhiªn_MËt §å_Thu thËpC¸i Bang MËt tŞch kü n¨ng	kinh nghiÖm 	1000000 kinh nghiÖm										1000000						

NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng Thiªn NhÉn	vËt phÈm 	Tö Thñy Tinh	4	239	1	1	0			1						1	94	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng Thiªn NhÉn	vËt phÈm 	TÈy Tñy Kinh	6	1	22	1	0			1						1	3	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng Thiªn NhÉn	vËt phÈm 	Vâ L©m MËt TŞch	6	1	26	1	0			1						1	3	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng Thiªn NhÉn	kinh nghiÖm 	1000000 kinh nghiÖm										1000000						

NgÉu nhiªn_MËt §å_Thu thËpVâ §ang MËt tŞch kü n¨ng	vËt phÈm 	Tö Thñy Tinh	4	239	1	1	0			1						1	95	
NgÉu nhiªn_MËt §å_Thu thËpVâ §ang MËt tŞch kü n¨ng	vËt phÈm 	TÈy Tñy Kinh	6	1	22	1	0			1						1	3	
NgÉu nhiªn_MËt §å_Thu thËpVâ §ang MËt tŞch kü n¨ng	vËt phÈm 	Vâ L©m MËt TŞch	6	1	26	1	0			1						1	2	
NgÉu nhiªn_MËt §å_Thu thËpVâ §ang MËt tŞch kü n¨ng	kinh nghiÖm 	1000000 kinh nghiÖm										1000000						

NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng C«n L«n	vËt phÈm 	Tö Thñy Tinh	4	239	1	1	0			1						1	96	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng C«n L«n	vËt phÈm 	TÈy Tñy Kinh	6	1	22	1	0			1						1	2	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng C«n L«n	vËt phÈm 	Vâ L©m MËt TŞch	6	1	26	1	0			1						1	2	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng C«n L«n	kinh nghiÖm 	1000000 kinh nghiÖm										1000000						

NgÉu nhiªn_MËt §å_Thu thËp ThiÕu L©m MËt tŞch kü n¨ng	vËt phÈm 	Tö Thñy Tinh	4	239	1	1	0			1						1	90	
NgÉu nhiªn_MËt §å_Thu thËp ThiÕu L©m MËt tŞch kü n¨ng	vËt phÈm 	TÈy Tñy Kinh	6	1	22	1	0			1						1	5	
NgÉu nhiªn_MËt §å_Thu thËp ThiÕu L©m MËt tŞch kü n¨ng	vËt phÈm 	Vâ L©m MËt TŞch	6	1	26	1	0			1						1	5	
NgÉu nhiªn_MËt §å_Thu thËp ThiÕu L©m MËt tŞch kü n¨ng	kinh nghiÖm 	1000000 kinh nghiÖm										1000000						

NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng Thiªn V­¬ng	vËt phÈm 	Tö Thñy Tinh	4	239	1	1	0			1						1	94	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng Thiªn V­¬ng	vËt phÈm 	TÈy Tñy Kinh	6	1	22	1	0			1						1	3	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng Thiªn V­¬ng	vËt phÈm 	Vâ L©m MËt TŞch	6	1	26	1	0			1						1	3	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng Thiªn V­¬ng	kinh nghiÖm 	1500000 kinh nghiÖm										1500000						

NgÉu nhiªn_MËt §å_Thu thËp mét bé Thiªn Hoµng 	vËt phÈm 	Tinh Hång B¶o Th¹ch	4	353	1	1	0			1						1	20	
NgÉu nhiªn_MËt §å_Thu thËp mét bé Thiªn Hoµng 	vËt phÈm 	Tö Thñy Tinh	4	239	1	1	0			1						1	20	
NgÉu nhiªn_MËt §å_Thu thËp mét bé Thiªn Hoµng 	vËt phÈm 	Lam Thñy Tinh	4	238	1	1	0			1						1	20	
NgÉu nhiªn_MËt §å_Thu thËp mét bé Thiªn Hoµng 	vËt phÈm 	Lôc Thñy Tinh	4	240	1	1	0			1						1	20	
NgÉu nhiªn_MËt §å_Thu thËp mét bé Thiªn Hoµng 	vËt phÈm 	ThÇn bİ kho¸ng th¹ch	6	1	398	1	0			1						1	20	
NgÉu nhiªn_MËt §å_Thu thËp mét bé Thiªn Hoµng 	kinh nghiÖm 	1500000 kinh nghiÖm										1500000						

NgÉu nhiªn_MËt §å_Thu thËp mét bé Kim Phong	vËt phÈm 	Tinh Hång B¶o Th¹ch	4	353	1	1	0			1						1	5	
NgÉu nhiªn_MËt §å_Thu thËp mét bé Kim Phong	vËt phÈm 	Tö Thñy Tinh	4	239	1	1	0			1						1	30	
NgÉu nhiªn_MËt §å_Thu thËp mét bé Kim Phong	vËt phÈm 	Lam Thñy Tinh	4	238	1	1	0			1						1	30	
NgÉu nhiªn_MËt §å_Thu thËp mét bé Kim Phong	vËt phÈm 	Lôc Thñy Tinh	4	240	1	1	0			1						1	30	
NgÉu nhiªn_MËt §å_Thu thËp mét bé Kim Phong	vËt phÈm 	ThÇn bİ kho¸ng th¹ch	6	1	398	1	0			1						1	5	
NgÉu nhiªn_MËt §å_Thu thËp mét bé Kim Phong	kinh nghiÖm 	1500000 kinh nghiÖm										1500000						

NgÉu nhiªn_MËt §å_Thu thËp Tµng B¶o §å To¸i PhiÕn 	vËt phÈm 	Tinh Hång B¶o Th¹ch	4	353	1	1	0			1						1	30	
NgÉu nhiªn_MËt §å_Thu thËp Tµng B¶o §å To¸i PhiÕn 	vËt phÈm 	Tö Thñy Tinh	4	239	1	1	0			1						1	20	
NgÉu nhiªn_MËt §å_Thu thËp Tµng B¶o §å To¸i PhiÕn 	vËt phÈm 	Lam Thñy Tinh	4	238	1	1	0			1						1	20	
NgÉu nhiªn_MËt §å_Thu thËp Tµng B¶o §å To¸i PhiÕn 	vËt phÈm 	Lôc Thñy Tinh	4	240	1	1	0			1						1	20	
NgÉu nhiªn_MËt §å_Thu thËp Tµng B¶o §å To¸i PhiÕn 	vËt phÈm 	ThÇn bİ kho¸ng th¹ch	6	1	398	1	0			1						1	10	
NgÉu nhiªn_MËt §å_Thu thËp Tµng B¶o §å To¸i PhiÕn 	kinh nghiÖm 	1500000 kinh nghiÖm										1500000						

NgÉu nhiªn_MËt §å_Thu thËp HuyÒn ThiÕt KiÕm	vËt phÈm 	Tiªn Th¶o Lé 	6	1	71	1	0			1						1	80	
NgÉu nhiªn_MËt §å_Thu thËp HuyÒn ThiÕt KiÕm	vËt phÈm 	HuyÒn tinh cÊp 5	6	1	147	5	0			1						1	10	
NgÉu nhiªn_MËt §å_Thu thËp HuyÒn ThiÕt KiÕm	vËt phÈm 	Lam Thñy Tinh	4	238	1	1	0			1						1	10	
NgÉu nhiªn_MËt §å_Thu thËp HuyÒn ThiÕt KiÕm	kinh nghiÖm 	1500000 kinh nghiÖm										1500000						

NgÉu nhiªn_MËt §å_Thu thËp §¹i Phong §ao	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_MËt §å_Thu thËp HuyÒn ThiÕt KiÕm
NgÉu nhiªn_MËt §å_Thu thËp Kim C« Bæng	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_MËt §å_Thu thËp HuyÒn ThiÕt KiÕm
NgÉu nhiªn_MËt §å_Thu thËp Ph¸ Thiªn Kİch	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_MËt §å_Thu thËp HuyÒn ThiÕt KiÕm
NgÉu nhiªn_MËt §å_Thu thËp Ph¸ Thiªn Chïy	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_MËt §å_Thu thËp HuyÒn ThiÕt KiÕm
NgÉu nhiªn_MËt §å_Thu thËp B¸ V­¬ng Tiªu	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_MËt §å_Thu thËp HuyÒn ThiÕt KiÕm
NgÉu nhiªn_MËt §å_Thu thËp Tóy NguyÖt §ao	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_MËt §å_Thu thËp HuyÒn ThiÕt KiÕm
NgÉu nhiªn_MËt §å_Thu thËp Khæng T­íc Linh	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_MËt §å_Thu thËp HuyÒn ThiÕt KiÕm

NgÉu nhiªn_MËt §å_Thu thËp NhÉn	vËt phÈm 	Tiªn Th¶o Lé 	6	1	71	1	0			1						1	25	
NgÉu nhiªn_MËt §å_Thu thËp NhÉn	vËt phÈm 	HuyÒn tinh cÊp 5	6	1	147	5	0			1						1	30	
NgÉu nhiªn_MËt §å_Thu thËp NhÉn	vËt phÈm 	Lam Thñy Tinh	4	238	1	1	0			1						1	40	
NgÉu nhiªn_MËt §å_Thu thËp NhÉn	vËt phÈm 	ThÇn bİ kho¸ng th¹ch	6	1	398	1	0			1						1	5	
NgÉu nhiªn_MËt §å_Thu thËp NhÉn	kinh nghiÖm 	1500000 kinh nghiÖm										1500000						

NgÉu nhiªn_MËt §å_Thu thËp D©y chuyÒn	vËt phÈm 	Tiªn Th¶o Lé 	6	1	71	1	0			1						1	30	
NgÉu nhiªn_MËt §å_Thu thËp D©y chuyÒn	vËt phÈm 	HuyÒn tinh cÊp 5	6	1	147	5	0			1						1	30	
NgÉu nhiªn_MËt §å_Thu thËp D©y chuyÒn	vËt phÈm 	Lam Thñy Tinh	4	238	1	1	0			1						1	30	
NgÉu nhiªn_MËt §å_Thu thËp D©y chuyÒn	vËt phÈm 	ThÇn bİ kho¸ng th¹ch	6	1	398	1	0			1						1	10	
NgÉu nhiªn_MËt §å_Thu thËp D©y chuyÒn	kinh nghiÖm 	1500000 kinh nghiÖm										1500000						

NgÉu nhiªn_MËt §å_Thu thËpHé Th©n phï 	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_MËt §å_Thu thËp D©y chuyÒn
NgÉu nhiªn_MËt §å_Thu thËp H­¬ng Nang	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_MËt §å_Thu thËp D©y chuyÒn
NgÉu nhiªn_MËt §å_Thu thËp Ngäc Béi	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_MËt §å_Thu thËp D©y chuyÒn

NgÉu nhiªn_MËt §å_Thu thËp Ngäc Tr¹c 	vËt phÈm 	Tiªn Th¶o Lé 	6	1	71	1	0			1						1	80	
NgÉu nhiªn_MËt §å_Thu thËp Ngäc Tr¹c 	vËt phÈm 	HuyÒn tinh cÊp 5	6	1	147	5	0			1						1	10	
NgÉu nhiªn_MËt §å_Thu thËp Ngäc Tr¹c 	vËt phÈm 	Lam Thñy Tinh	4	238	1	1	0			1						1	10	
NgÉu nhiªn_MËt §å_Thu thËp Ngäc Tr¹c 	kinh nghiÖm 	1500000 kinh nghiÖm										1500000						

NgÉu nhiªn_MËt §å_Thu thËp Hé uyÓn	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_MËt §å_Thu thËp Ngäc Tr¹c 
NgÉu nhiªn_MËt §å_Thu thËp Th«ng Thiªn Ph¸t Qu¸n	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_MËt §å_Thu thËp Ngäc Tr¹c 
NgÉu nhiªn_MËt §å_Thu thËp YÓm NhËt Kh«i	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_MËt §å_Thu thËp Ngäc Tr¹c 
NgÉu nhiªn_MËt §å_Thu thËp B¹ch Kim yªu ®¸i	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_MËt §å_Thu thËp Ngäc Tr¹c 
NgÉu nhiªn_MËt §å_Thu thËpThiªn Tµm Ngoa	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_MËt §å_Thu thËp Ngäc Tr¹c 
NgÉu nhiªn_MËt §å_Thu thËp Phi Phông Ngoa	hÖ thèng phÇn th­ëng																	NgÉu nhiªn_MËt §å_Thu thËp Ngäc Tr¹c 

Ëæ»ú_¾íÖá_ÊÕ¼¯ÏÀ¹ÇÈ«Ì×	»Æ½ğ×°±¸	´óÂí»¢Ö®ÕªĞÇ»·						194		1						1	24
Ëæ»ú_¾íÖá_ÊÕ¼¯ÏÀ¹ÇÈ«Ì×	»Æ½ğ×°±¸	´óÂí»¢Ö®ÌÆâ¥¼×						195		1						1	25
Ëæ»ú_¾íÖá_ÊÕ¼¯ÏÀ¹ÇÈ«Ì×	»Æ½ğ×°±¸	´óÂí»¢Ö®°×½ğÑü´ø						198		1						1	25
Ëæ»ú_¾íÖá_ÊÕ¼¯ÏÀ¹ÇÈ«Ì×	»Æ½ğ×°±¸	´óÂí»¢Ö®Ìì²ÏÑ¥						201		1						1	25
Ëæ»ú_¾íÖá_ÊÕ¼¯ÏÀ¹ÇÈ«Ì×	»Æ½ğ×°±¸	´óÂí»¢Ö®±±¾©Ö®ÃÎ						197		1						1	1
Ëæ»ú_¾íÖá_ÊÕ¼¯ÏÀ¹ÇÈ«Ì×	¾­Ñé	1500000¾­Ñé										1500000					
Ëæ»ú_¾íÖá_ÊÕ¼¯ÏÀ¹ÇÈ«Ì×	²Ø±¦Í¼	²Ø±¦Í¼															

Ëæ»ú_¾íÖá_ÊÕ¼¯ÈáÇéÈ«Ì×	»Æ½ğ×°±¸	´óÂí»¢Ö®ÂÌôä´ä»¤Éí·û						196		1						1	24
Ëæ»ú_¾íÖá_ÊÕ¼¯ÈáÇéÈ«Ì×	»Æ½ğ×°±¸	´óÂí»¢Ö®ÌÆâ¥¼×						195		1						1	25
Ëæ»ú_¾íÖá_ÊÕ¼¯ÈáÇéÈ«Ì×	»Æ½ğ×°±¸	´óÂí»¢Ö®Ìì²Ï»¤Íó						199		1						1	25
Ëæ»ú_¾íÖá_ÊÕ¼¯ÈáÇéÈ«Ì×	»Æ½ğ×°±¸	´óÂí»¢Ö®Ìì²ÏÑ¥						201		1						1	25
Ëæ»ú_¾íÖá_ÊÕ¼¯ÈáÇéÈ«Ì×	»Æ½ğ×°±¸	´óÂí»¢Ö®ÑÅµäÖ®»ê						202		1						1	1
Ëæ»ú_¾íÖá_ÊÕ¼¯ÈáÇéÈ«Ì×	¾­Ñé	1500000¾­Ñé										1500000					
Ëæ»ú_¾íÖá_ÊÕ¼¯ÈáÇéÈ«Ì×	²Ø±¦Í¼	²Ø±¦Í¼															

Ëæ»ú_¾íÖá_ÊÕ¼¯ĞşÌú½£	ÎïÆ·	ÏÉ²İÂ¶	6	1	71	1	0			1						1	40
Ëæ»ú_¾íÖá_ÊÕ¼¯ĞşÌú½£	ÎïÆ·	Îå¼¶Ğş¾§	6	1	147	5	0			1						1	47
Ëæ»ú_¾íÖá_ÊÕ¼¯ĞşÌú½£	ÎïÆ·	À¶Ë®¾§	4	238	1	1	0			1						1	10
Ëæ»ú_¾íÖá_ÊÕ¼¯ĞşÌú½£	ÎïÆ·	°Ë¼¶Ğş¾§	6	1	147	8	0			1						1	3
Ëæ»ú_¾íÖá_ÊÕ¼¯ĞşÌú½£	²Ø±¦Í¼	²Ø±¦Í¼														2	65
Ëæ»ú_¾íÖá_ÊÕ¼¯ĞşÌú½£	ÎïÆ·	Ãµ¹å»¨Óê	6	0	20	1	0			1						2	35
Ëæ»ú_¾íÖá_ÊÕ¼¯ĞşÌú½£	¾­Ñé	1500000¾­Ñé										1500000					

Ëæ»ú_¾íÖá_ÊÕ¼¯´ó·çµ¶	½±ÀøË÷Òı																	Ëæ»ú_¾íÖá_ÊÕ¼¯ĞşÌú½£
Ëæ»ú_¾íÖá_ÊÕ¼¯½ğ¹¿°ô	½±ÀøË÷Òı																	Ëæ»ú_¾íÖá_ÊÕ¼¯ĞşÌú½£
Ëæ»ú_¾íÖá_ÊÕ¼¯ÆÆÌìêª	½±ÀøË÷Òı																	Ëæ»ú_¾íÖá_ÊÕ¼¯ĞşÌú½£
Ëæ»ú_¾íÖá_ÊÕ¼¯ÆÆÌì´¸	½±ÀøË÷Òı																	Ëæ»ú_¾íÖá_ÊÕ¼¯ĞşÌú½£
Ëæ»ú_¾íÖá_ÊÕ¼¯°ÔÍõïÚ	½±ÀøË÷Òı																	Ëæ»ú_¾íÖá_ÊÕ¼¯ĞşÌú½£
Ëæ»ú_¾íÖá_ÊÕ¼¯ËéÔÂµ¶	½±ÀøË÷Òı																	Ëæ»ú_¾íÖá_ÊÕ¼¯ĞşÌú½£
Ëæ»ú_¾íÖá_ÊÕ¼¯¿×È¸ôá	½±ÀøË÷Òı																	Ëæ»ú_¾íÖá_ÊÕ¼¯ĞşÌú½£

Ëæ»ú_¾íÖá_ÊÕ¼¯½äÖ¸	ÎïÆ·	ÏÉ²İÂ¶	6	1	71	1	0			1						1	25	
Ëæ»ú_¾íÖá_ÊÕ¼¯½äÖ¸	ÎïÆ·	Îå¼¶Ğş¾§	6	1	147	5	0			1						1	30	
Ëæ»ú_¾íÖá_ÊÕ¼¯½äÖ¸	ÎïÆ·	À¶Ë®¾§	4	238	1	1	0			1						1	40	
Ëæ»ú_¾íÖá_ÊÕ¼¯½äÖ¸	ÎïÆ·	ÉñÃØ¿óÊ¯	6	1	398	1	0			1						1	5	
Ëæ»ú_¾íÖá_ÊÕ¼¯½äÖ¸	²Ø±¦Í¼	²Ø±¦Í¼														2	80	
Ëæ»ú_¾íÖá_ÊÕ¼¯½äÖ¸	ÎïÆ·	Ãµ¹å»¨Óê	6	0	20	1	0			1						2	20	
Ëæ»ú_¾íÖá_ÊÕ¼¯½äÖ¸	¾­Ñé	1500000¾­Ñé										1500000						

Ëæ»ú_¾íÖá_ÊÕ¼¯ÏîÁ´	ÎïÆ·	ÏÉ²İÂ¶	6	1	71	1	0			1						1	40
Ëæ»ú_¾íÖá_ÊÕ¼¯ÏîÁ´	ÎïÆ·	Îå¼¶Ğş¾§	6	1	147	5	0			1						1	30
Ëæ»ú_¾íÖá_ÊÕ¼¯ÏîÁ´	ÎïÆ·	À¶Ë®¾§	4	238	1	1	0			1						1	26
Ëæ»ú_¾íÖá_ÊÕ¼¯ÏîÁ´	ÎïÆ·	ÉñÃØ¿óÊ¯	6	1	398	1	0			1						1	4
Ëæ»ú_¾íÖá_ÊÕ¼¯ÏîÁ´	²Ø±¦Í¼	²Ø±¦Í¼														2	80
Ëæ»ú_¾íÖá_ÊÕ¼¯ÏîÁ´	ÎïÆ·	Ãµ¹å»¨Óê	6	0	20	1	0			1						2	20
Ëæ»ú_¾íÖá_ÊÕ¼¯ÏîÁ´	¾­Ñé	1500000¾­Ñé										1500000					

Ëæ»ú_¾íÖá_ÊÕ¼¯»¤Éí·û	ÎïÆ·	ÏÉ²İÂ¶	6	1	71	1	0			1						1	35
Ëæ»ú_¾íÖá_ÊÕ¼¯»¤Éí·û	ÎïÆ·	Îå¼¶Ğş¾§	6	1	147	5	0			1						1	35
Ëæ»ú_¾íÖá_ÊÕ¼¯»¤Éí·û	ÎïÆ·	À¶Ë®¾§	4	238	1	1	0			1						1	26
Ëæ»ú_¾íÖá_ÊÕ¼¯»¤Éí·û	ÎïÆ·	ÉñÃØ¿óÊ¯	6	1	398	1	0			1						1	4
Ëæ»ú_¾íÖá_ÊÕ¼¯»¤Éí·û	²Ø±¦Í¼	²Ø±¦Í¼														2	80
Ëæ»ú_¾íÖá_ÊÕ¼¯»¤Éí·û	ÎïÆ·	Ãµ¹å»¨Óê	6	0	20	1	0			1						2	20
Ëæ»ú_¾íÖá_ÊÕ¼¯»¤Éí·û	¾­Ñé	1500000¾­Ñé										1500000					

Ëæ»ú_¾íÖá_ÊÕ¼¯ÏãÄÒ	ÎïÆ·	ÏÉ²İÂ¶	6	1	71	1	0			1						1	30
Ëæ»ú_¾íÖá_ÊÕ¼¯ÏãÄÒ	ÎïÆ·	Îå¼¶Ğş¾§	6	1	147	5	0			1						1	40
Ëæ»ú_¾íÖá_ÊÕ¼¯ÏãÄÒ	ÎïÆ·	À¶Ë®¾§	4	238	1	1	0			1						1	25
Ëæ»ú_¾íÖá_ÊÕ¼¯ÏãÄÒ	ÎïÆ·	ÉñÃØ¿óÊ¯	6	1	398	1	0			1						1	5
Ëæ»ú_¾íÖá_ÊÕ¼¯ÏãÄÒ	²Ø±¦Í¼	²Ø±¦Í¼														2	80
Ëæ»ú_¾íÖá_ÊÕ¼¯ÏãÄÒ	ÎïÆ·	Ãµ¹å»¨Óê	6	0	20	1	0			1						2	20
Ëæ»ú_¾íÖá_ÊÕ¼¯ÏãÄÒ	¾­Ñé	1500000¾­Ñé										1500000					

Ëæ»ú_¾íÖá_ÊÕ¼¯ÓñÅå	ÎïÆ·	ÏÉ²İÂ¶	6	1	71	1	0			1						1	26
Ëæ»ú_¾íÖá_ÊÕ¼¯ÓñÅå	ÎïÆ·	Îå¼¶Ğş¾§	6	1	147	5	0			1						1	40
Ëæ»ú_¾íÖá_ÊÕ¼¯ÓñÅå	ÎïÆ·	À¶Ë®¾§	4	238	1	1	0			1						1	30
Ëæ»ú_¾íÖá_ÊÕ¼¯ÓñÅå	ÎïÆ·	ÉñÃØ¿óÊ¯	6	1	398	1	0			1						1	4
