mID	Type	TypeName	Name	Worth	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	Message	Announce
57	2	普通礼品	福缘露（小）	600000	6	1	122	1									礼官送给你一个<name>。	
58	2	普通礼品	天山玉露	500000	6	1	72	1									礼官送给你一个<name>。	
59	2	普通礼品	百果露	500000	6	1	73	1									礼官送给你一个<name>。	
60	2	普通礼品	心心相映符	50000	6	1	18	1									礼官送给你一个<name>。	
61	2	面具	易容面具-雪豹	2000000	0	11	27	1									礼官送给你一个<name>。	
62	2	面具	易容面具-青狼	2000000	0	11	30	1									礼官送给你一个<name>。	
63	2	面具	易容面具-刺猬	2000000	0	11	35	1									礼官送给你一个<name>。	
64	2	面具	易容面具-棕熊	2000000	0	11	38	1									礼官送给你一个<name>。	
65	2	面具	易容面具-野牛	2000000	0	11	40	1									礼官送给你一个<name>。	
66	2	面具	易容面具-眼镜蟒蛇	2000000	0	11	43	1									礼官送给你一个<name>。	
67	2	面具	易容面具-金雕	0	0	11	47	1									礼官送给你一个<name>。	
68	2	面具	易容面具-金猫	2000000	0	11	54	1									礼官送给你一个<name>。	
69	2	面具	易容面具-金丝猴	2000000	0	11	61	1									礼官送给你一个<name>。	
70	2	面具	易容面具-梅花鹿	2000000	0	11	65	1									礼官送给你一个<name>。	
71	2	面具	易容面具-白猪	2000000	0	11	66	1									礼官送给你一个<name>。	
72	3	临时状态	半小时内经验提升50%	200000	531	5	1	32400									礼官给你加了一种能力，可以<name>。	
73	3	临时状态	半小时内经验提升100%	5000000	531	10	1	32400									礼官给你加了一种能力，可以<name>。	
74	3	临时状态	半小时内经验提升150%	800000	531	15	1	32400									礼官给你加了一种能力，可以<name>。	
75	3	临时状态	半小时内经验提升200%	1200000	531	20	1	32400									礼官给你加了一种能力，可以<name>。	
76	3	临时状态	半小时内生命上限提升1000点	500000	527	10	1	32400									礼官给你加了一种能力，可以<name>。	
77	3	临时状态	半小时内内里上限提升1000点	500000	528	10	1	32400									礼官给你加了一种能力，可以<name>。	
78	3	临时状态	半小时内血内双回20点/半秒	100000	532	10	1	32400									礼官给你加了一种能力，可以<name>。	
79	3	临时状态	半小时内幸运加10点	200000	530	5	1	32400									礼官给你加了一种能力，可以<name>。	
80	3	临时状态	半小时内幸运加30点	500000	530	15	1	32400									礼官给你加了一种能力，可以<name>。	
81	3	临时状态	半小时内幸运加50点	1000000	530	25	1	32400									礼官给你加了一种能力，可以<name>。	
82	3	临时状态	半小时内幸运加80点	2000000	530	40	1	32400									礼官给你加了一种能力，可以<name>。	
83	3	临时状态	半小时内幸运加100点	3000000	530	50	1	32400									礼官给你加了一种能力，可以<name>。	
84	3	临时状态	半小时内不损血	0														
85	3	临时状态	半小时内不耗内	0														
86	2	新型大补丸	攻速丸	80000	6	1	218	1									礼官送给你一个<name>。	
87	2	新型大补丸	跑速丸	10000	6	1	219	1									礼官送给你一个<name>。	
88	2	新型大补丸	普防丸	10000	6	1	220	1									礼官送给你一个<name>。	
89	2	新型大补丸	毒防丸	10000	6	1	221	1									礼官送给你一个<name>。	
90	2	新型大补丸	冰防丸	10000	6	1	222	1									礼官送给你一个<name>。	
91	2	新型大补丸	火防丸	10000	6	1	223	1									礼官送给你一个<name>。	
92	2	新型大补丸	雷防丸	10000	6	1	224	1									礼官送给你一个<name>。	
93	2	新型大补丸	减伤丸	10000	6	1	225	1									礼官送给你一个<name>。	
94	2	新型大补丸	减晕丸	10000	6	1	226	1									礼官送给你一个<name>。	
95	2	新型大补丸	减毒丸	10000	6	1	227	1									礼官送给你一个<name>。	
96	2	新型大补丸	减冰丸	10000	6	1	228	1									礼官送给你一个<name>。	
97	2	新型大补丸	普攻丸	10000	6	1	229	1									礼官送给你一个<name>。	
98	2	新型大补丸	毒攻丸	10000	6	1	230	1									礼官送给你一个<name>。	
99	2	新型大补丸	冰攻丸	10000	6	1	231	1									礼官送给你一个<name>。	
100	2	新型大补丸	火攻丸	10000	6	1	232	1									礼官送给你一个<name>。	
101	2	新型大补丸	雷攻丸	10000	6	1	233	1									礼官送给你一个<name>。	
102	2	新型大补丸	长命丸	10000	6	1	234	1									礼官送给你一个<name>。	
103	2	新型大补丸	长内丸	10000	6	1	235	1									礼官送给你一个<name>。	
104	4	经验值	经验值1万点	20000	10000												礼官给你奖励了<name>。	
105	4	经验值	经验值5万点	100000	50000												礼官给你奖励了<name>。	
106	4	经验值	经验值10万点	200000	100000												礼官给你奖励了<name>。	
