Name	Quality	Genre	Detail	Particular	Level	GoodsFive	ItemRate	IsPublic
火凤轻吟·同伴绝技秘籍	0	6	1	846	2	1	1000	0
纯阳无极·同伴绝技秘籍	0	6	1	847	2	1	1000	0
云生结海·同伴绝技秘籍	0	6	1	848	2	1	1000	0
镇狱破天劲·同伴绝技秘籍	0	6	1	839	3	1	1000	0
大悲咒·同伴绝技秘籍	0	6	1	840	3	1	1000	0
炼狱腐蛊·同伴绝技秘籍	0	6	1	841	3	1	1000	0
蚀骨血仞·同伴绝技秘籍	0	6	1	842	3	1	1000	0
逆转心经·同伴绝技秘籍	0	6	1	843	3	1	1000	0
玄冰阴气·同伴绝技秘籍	0	6	1	844	3	1	1000	0
尘空梵烬·同伴绝技秘籍	0	6	1	845	3	1	1000	0
火凤轻吟·同伴绝技秘籍	0	6	1	846	3	1	1000	0
纯阳无极·同伴绝技秘籍	0	6	1	847	3	1	1000	0
云生结海·同伴绝技秘籍	0	6	1	848	3	1	1000	0
镇狱破天劲·同伴绝技秘籍	0	6	1	839	4	1	100	0
大悲咒·同伴绝技秘籍	0	6	1	840	4	1	100	0
炼狱腐蛊·同伴绝技秘籍	0	6	1	841	4	1	100	0
蚀骨血仞·同伴绝技秘籍	0	6	1	842	4	1	100	0
逆转心经·同伴绝技秘籍	0	6	1	843	4	1	100	0
玄冰阴气·同伴绝技秘籍	0	6	1	844	4	1	100	0
尘空梵烬·同伴绝技秘籍	0	6	1	845	4	1	100	0
火凤轻吟·同伴绝技秘籍	0	6	1	846	4	1	100	0
纯阳无极·同伴绝技秘籍	0	6	1	847	4	1	100	0
云生结海·同伴绝技秘籍	0	6	1	848	4	1	100	0
镇狱破天劲·同伴绝技秘籍	0	6	1	839	5	1	100	0
大悲咒·同伴绝技秘籍	0	6	1	840	5	1	100	0
炼狱腐蛊·同伴绝技秘籍	0	6	1	841	5	1	100	0
蚀骨血仞·同伴绝技秘籍	0	6	1	842	5	1	100	0
逆转心经·同伴绝技秘籍	0	6	1	843	5	1	100	0
玄冰阴气·同伴绝技秘籍	0	6	1	844	5	1	100	0
尘空梵烬·同伴绝技秘籍	0	6	1	845	5	1	100	0
火凤轻吟·同伴绝技秘籍	0	6	1	846	5	1	100	0
纯阳无极·同伴绝技秘籍	0	6	1	847	5	1	100	0
云生结海·同伴绝技秘籍	0	6	1	848	5	1	100	0
武林秘籍	0	6	1	22	1	0	12000	1
洗髓经	0	6	1	26	1	0	12000	1
定国之青纱长衫	1	159	1	1	1	0	1000	1
定国之钨砂发冠	1	160	1	1	1	0	1000	1
定国之赤绢软靴	1	161	1	1	1	0	1000	1
定国之紫藤护腕	1	162	1	1	1	0	1000	1
定国之银蚕腰带	1	163	1	1	1	0	1000	1
安邦之冰晶石项链	1	164	1	1	1	0	1000	1
安邦之菊花石指环	1	165	1	1	1	0	1000	1
安邦之田黄石玉佩	1	166	1	1	1	0	1000	1
安邦之鸡血石戒指	1	167	1	1	1	0	1000	1
