Name	Quality	Genre	Detail	Particular	Level	GoodsFive	Magiclevel	ItemValue	ItemRate
五行无相·同伴秘籍	0	6	1	853	6	0	0	3000000	25
弥气飘踪·同伴秘籍	0	6	1	854	6	0	0	3000000	25
花飞碟舞·同伴秘籍	0	6	1	855	6	0	0	3000000	25
无人无我·同伴秘籍	0	6	1	901	6	0	0	3000000	25
性傲三冬·同伴秘籍	0	6	1	859	6	0	0	3000000	25
点血截脉·同伴秘籍	0	6	1	860	6	0	0	3000000	25
万毒不复·同伴秘籍	0	6	1	861	6	0	0	3000000	25
身轻如燕·同伴秘籍	0	6	1	862	6	0	0	3000000	25
凝音归元·同伴秘籍	0	6	1	863	6	0	0	3000000	25
易骨经·同伴秘籍	0	6	1	864	6	0	0	3000000	25
束身术·同伴秘籍	0	6	1	865	6	0	0	3000000	25
缓身术·同伴秘籍	0	6	1	866	6	0	0	3000000	25
眩目定身术·同伴秘籍	0	6	1	867	6	0	0	3000000	25
益寿阴阳·同伴秘籍	0	6	1	868	6	0	0	3000000	25
安抚之语·同伴秘籍	0	6	1	869	6	0	0	3000000	25
三生有幸·同伴秘籍	0	6	1	870	6	0	0	3000000	25
鬼迷魅惑·同伴秘籍	0	6	1	871	6	0	0	3000000	25
夺命缠绕·同伴秘籍	0	6	1	872	6	0	0	3000000	25
妖狐倩影·同伴秘籍	0	6	1	873	6	0	0	3000000	25
惑神乱心·同伴秘籍	0	6	1	874	6	0	0	3000000	25
孤身碎影·同伴秘籍	0	6	1	875	6	0	0	3000000	25
死亡羁绊·同伴秘籍	0	6	1	876	6	0	0	3000000	25
深魂念唱·同伴秘籍	0	6	1	877	6	0	0	3000000	25
及魄之咒·同伴秘籍	0	6	1	878	6	0	0	3000000	25
化髓无意·同伴秘籍	0	6	1	879	6	0	0	3000000	25
融骨无踪·同伴秘籍	0	6	1	880	6	0	0	3000000	25
暗毒之手·同伴秘籍	0	6	1	882	6	0	0	3000000	25
三伏之气·同伴秘籍	0	6	1	883	6	0	0	3000000	25
金刚不破·同伴秘籍	0	6	1	834	7	0	0	3000000	25
百毒不侵·同伴秘籍	0	6	1	835	7	0	0	3000000	25
冰雪初融·同伴秘籍	0	6	1	836	7	0	0	3000000	25
真火抗力·同伴秘籍	0	6	1	837	7	0	0	3000000	25
雷霆护甲·同伴秘籍	0	6	1	838	7	0	0	3000000	25
平和气诀·同伴秘籍	0	6	1	849	7	0	0	3000000	25
虚空闪影·同伴秘籍	0	6	1	850	7	0	0	3000000	25
会神静心·同伴秘籍	0	6	1	851	7	0	0	3000000	25
无念心经·同伴秘籍	0	6	1	852	7	0	0	3000000	25
五行无相·同伴秘籍	0	6	1	853	7	0	0	3000000	25
弥气飘踪·同伴秘籍	0	6	1	854	7	0	0	3000000	25
花飞碟舞·同伴秘籍	0	6	1	855	7	0	0	3000000	25
无人无我·同伴秘籍	0	6	1	901	7	0	0	3000000	25
性傲三冬·同伴秘籍	0	6	1	859	7	0	0	3000000	25
点血截脉·同伴秘籍	0	6	1	860	7	0	0	3000000	25
万毒不复·同伴秘籍	0	6	1	861	7	0	0	3000000	25
身轻如燕·同伴秘籍	0	6	1	862	7	0	0	3000000	25
凝音归元·同伴秘籍	0	6	1	863	7	0	0	3000000	25
易骨经·同伴秘籍	0	6	1	864	7	0	0	3000000	25
束身术·同伴秘籍	0	6	1	865	7	0	0	3000000	25
缓身术·同伴秘籍	0	6	1	866	7	0	0	3000000	25
眩目定身术·同伴秘籍	0	6	1	867	7	0	0	3000000	25
益寿阴阳·同伴秘籍	0	6	1	868	7	0	0	3000000	25
安抚之语·同伴秘籍	0	6	1	869	7	0	0	3000000	25
三生有幸·同伴秘籍	0	6	1	870	7	0	0	3000000	25
鬼迷魅惑·同伴秘籍	0	6	1	871	7	0	0	3000000	25
夺命缠绕·同伴秘籍	0	6	1	872	7	0	0	3000000	25
妖狐倩影·同伴秘籍	0	6	1	873	7	0	0	3000000	25
惑神乱心·同伴秘籍	0	6	1	874	7	0	0	3000000	25
孤身碎影·同伴秘籍	0	6	1	875	7	0	0	3000000	25
死亡羁绊·同伴秘籍	0	6	1	876	7	0	0	3000000	25
深魂念唱·同伴秘籍	0	6	1	877	7	0	0	3000000	25
及魄之咒·同伴秘籍	0	6	1	878	7	0	0	3000000	25
化髓无意·同伴秘籍	0	6	1	879	7	0	0	3000000	25
融骨无踪·同伴秘籍	0	6	1	880	7	0	0	3000000	25
暗毒之手·同伴秘籍	0	6	1	882	7	0	0	3000000	25
三伏之气·同伴秘籍	0	6	1	883	7	0	0	3000000	25
