ParentTaskId	TaskId	MinLevel	MaxLevel	Value	Text	Title	Desc
1001	1051	30	40	110	在<color=red>襄阳<color>找到龚阿牛<color=red>（193，199）<color>。龚阿牛正为伏牛山上出没的恶狼<color=red>(224，196)<color>伤脑筋，你决定帮他解决这个麻烦。		
1001	1051	30	40	120	来到<color=red>伏牛山<color=red>，杀掉恶狼<color=red>（223，196）<color>。		
1001	1051	30	40	130	回到<color=red>襄阳<color>，告诉龚阿牛已经杀掉了恶狼。		
1001	1051	30	40	140	龚阿牛将泡制好的<color=red>狼骨酒<color>交给你。		
1001	1051	30	40	150	到<color=red>江津村<color>找到已经身重剧毒的吴老太太<color=red>（432，387）<color>。		
1001	1051	30	40	160	将狼骨酒给吴老太服用。		
1001	1051	30	40	170	吴老太太饮下药酒后终于可以说话了，原来她一直帮贺兰之保存着那<color=red>两颗属性宝石<color>。你可以回去找傲云宗复命了。		
1001	1051	30	40	180	得到宝石后，可以到<color=red>凤翔<color>向傲云宗<color=red>（198，206）<color>复命了。		
1001	1051	30	40	1000	任务完成！傲云宗将其中一颗属性矿石送给了你。你可以带着得到的带孔<color=red>铠甲<color>，<color=red>概率宝石<color>，和这颗<color=red>属性矿石<color>，去找<color=red>临安<color>神秘铁匠，有可能合出一件好的装备。		
1001	1052	40	50	10	傲云宗告诉你武技必须与人斗才能不断提高，并传授了你一些作战时的武功技巧以及心理战术。	假入临渊	傲云宗莫名其妙的让你去比武场进行比赛，那是决生死的地方，在鲜血和刀剑背后，有扇暗门正悄然打开。
1001	1052	40	50	20	去<color=red>比武场<color>（扬州/成都/襄阳）打一场擂台赛，实际感受真正的凶险。		
1001	1052	40	50	30	pk回来，傲告诉你，想出人头地，有所作为，维护江湖里一点正气就需要不断修练。他已从慕容不羁口中得知，岳将军被刺杀一事，与武林中立门派<color=red>临渊崖<color>有莫大关系。这是一个不问是非只看钱财的暗杀组织。想办法混到这个组织里，打听清楚情况。		
1001	1052	40	50	40	任务完成！傲云宗让你去<color=red>扬州<color>比武场外找一个混混<color=red>（231，190）<color>，通过他打入到杀手组织临渊崖内部，查出当年刺杀岳元帅的主使人。		
1001	1052	40	50	50	来比武场外找到混混<color=red>（231，190）<color>，他要看一看你的实力。		
1001	1052	40	50	60	进入<color=red>比武场<color>打赢一场比赛。		
1001	1052	40	50	70	从比武场出来后与混混<color=red>（231，190）<color>对话，得知曾有人在最高等级的pk赛中连战上百场而不败，他和你打赌你找不到<color=red>渝湘津<color>，即使找到也无法战胜渝湘津。		
1001	1052	40	50	80	任务完成！在去之前，你决定先回去问一问在<color=red>凤翔<color>的傲云宗<color=red>（198，206）<color>。		
1001	1052	40	50	90	傲云宗告诉你，<color=red>渝湘津<color>很有可能隐藏在<color=red>成都<color>城外，他不是个坏人，可以留他一命。		
1001	1052	40	50	100	在<color=red>成都<color>城外找到渝湘津<color=red>（421，304）<color>。		
1001	1052	40	50	110	一场恶战之后，将渝湘津打败。你可以回去凤翔找傲云宗了。		
1001	1052	40	50	120	回<color=red>凤翔<color>找傲云宗<color=red>（198，206）<color>复命。		
1001	1052	40	50	1000	任务完成！得到阶段奖励。		
1001	1053	50	60	10	<color=red>扬州<color>混混<color=red>（231，190）<color>告诉你，组织中确实有人号称自己行刺了岳飞，不过这个人已参加宋金大战。需要你去<color=red>宋金战场<color>查找此人的下落。	杀手即风	终于到达了路程中短暂的终点，可以查出当年刺杀岳元帅的罪魁了吧，当一切结束，也许都可以松口气，然而，事情真的能如此简单？等待着你的，似乎是艰险的开始，而非终止，起码，得先从千万人的战场上活下来吧。
1001	1053	50	60	20	去宋金战场参加两国间的大战，并要获得<color=red>二百个积分<color>。看来，有一个真正危险的任务在等待着你。		
1001	1053	50	60	25	回<color=red>扬州<color>向混混<color=red>（231，190）<color>复命。		
1001	1053	50	60	27	任务完成！混混让你继续回答宋金的一些问题。		
1001	1053	50	60	30	你准备开始回答宋金问题了。		
1001	1053	50	60	40	问题全部回答正确后，方可继续与混混对话。		
1001	1053	50	60	50	混混说你已有足够经验，他告诉你要协助此人刺杀宋金两国的<color=red>军中主将<color>，原来他们是两头收钱。		
1001	1053	50	60	60	任务完成，混混终于告诉了你当年刺杀岳元帅的带头人，他名叫<color=red>齐即风（208，160）<color>。		
1001	1053	50	60	70	在<color=red>临安城外<color>，找到了这个神秘杀手齐即风<color=red>（208，160）<color>并成功将他杀死，正当暗自庆幸时，才发现这依然是一场骗局。究竟真正的杀手在哪里？		
1001	1053	50	60	80	回来<color=red>凤翔<color>找傲云宗<color=red>（198，206）<color>，询问下一步的行动。		
1001	1053	50	60	1000	任务完成！傲云宗告诉你，这恐怕是个天大的秘密。这背后，一定有股不为人知的势力在暗中作祟。看来他要自己亲自去查探了。		
1002	1054	20	30	10	<color=red>临安<color>的柳南云<color=red>（171，190）<color>说江湖上使剑高手寥寥无几的原因是没有绝世宝剑。据说扬州港的渔民在暴风雨里发现海底出奇异的景象，传说这是利器出世的征兆。	神兵乍现	繁华热闹的扬州港外，夜半精光四起，水波如潮，有一把绝世的宝剑将出现，而你需要做的，似乎是将它取到手中。
1002	1054	20	30	20	柳南云让你去<color=red>扬州<color>找他的朋友<color=red>江一萧（204，192）<color>打听关于神兵出世的消息，去前先为江杀五十只<color=red>秦陵<color>的刺猬。		
1002	1054	20	30	30	杀掉刺猬后，到<color=red>扬州<color>找江一萧<color=red>（204，192）<color>对话。江一萧听说你是柳南云介绍过来的高兴不已，他说其实自己对品剑一行也不甚懂，你可以去找个叫<color=red>乐清秋<color>的人，他曾经是品剑行里的名家。		
1002	1054	20	30	40	任务完成！到<color=red>扬州书画摊<color>找乐清秋<color=red>（211，195）<color>。		
1002	1054	20	30	50	乐清秋曾经是品剑行里数得着的人物.只是因为一次意外而废了手，以至于不得不以一些字画度日。并且他欠了赌场一大比钱，以无力再帮助你了。		
1002	1054	20	30	60	决定帮乐清秋解决他的赌债。到<color=red>扬州赌场<color>找到赌棍<color=red>（218，197）<color>。		
1002	1054	20	30	70	到<color=red>扬州赌场<color>找到赌棍<color=red>（218，197）<color>。赌棍说如果可以把城外朝天帮帮主<color=red>路长天<color>杀了，就免除赌债.		
1002	1054	20	30	80	在<color=red>扬州城外<color>找到朝天帮帮主路长天<color=red>（250，179）<color>。		
1002	1054	20	30	90	杀掉路长天，任务完成。可以回去找赌棍回复了。		
1002	1054	20	30	100	回到<color=red>扬州赌场<color>找到赌棍<color=red>（218，197）<color>。		
1002	1054	20	30	110	任务完成！当赌棍听说你把路长天杀了，着实吓得不轻，立刻答应免掉乐清秋的赌债。		
1002	1054	20	30	120	回来找到乐清秋，告诉他赌债的事情已经解决。乐感叹道，连年轻人都如此振作，他更不能荒废.并说确有宝器出没海上.只要你能弄到，他一定帮你品剑。		
1002	1054	20	30	130	宝剑就在城外，但已被武林人物获得了，看来势必会有一场龙争虎斗等着你…		
1002	1054	20	30	140	在<color=red>扬州城外<color=red>杀掉三个武林人物后，得到了宝剑。可以回扬州找乐清秋<color=red>（211，195）<color>了。		
1002	1054	20	30	150	回<color=red>扬州<color>找乐清秋<color=red>（211，195）<color>品剑。乐清秋遗憾的告诉你，因为这把剑在未开光出世之前沾染了污浊晦气，所以已经废掉了。		
1002	1054	20	30	1000	任务完成！你用勇敢证实了自己的能力。自信的拳头才是最好的武器。		
1002	1055	30	40	10	<color=red>临安<color>的柳南云<color=red>（171，190）<color>说近来西北镖局的镖车连续被劫，护送镖师无一幸免，西北一线三十六大镖局花大价钱请你去查出凶犯.	盗名荷花	西北三十六大镖局联保的镖车被劫，血流成河，一切的线索居然指向那样一群不可能的人，这是真的吗？
1002	1055	30	40	20	到<color=red>凤翔<color>双鹰镖局镖局主人<color=red>（193，199）<color>那查探情况。		
1002	1055	30	40	30	双鹰镖局主人让你去找幸免遇难的趟子手<color=red>阿牛<color>，他希望你能帮忙破此大案。		
1002	1055	30	40	40	在<color=red>凤翔<color>城里找到阿牛<color=red>（196，203）<color>，与其对话。		
1002	1055	30	40	50	阿牛说被劫后的镖车留下了最后一辆没人动，据说劫镖的人武功之高令人根本看不清面目。最后他交给你一件<color=red>铠甲<color>，说是盗贼所留。		
1002	1055	30	40	60	任务完成!这件铠甲的甲片上刻有一只长枪，这是成都<color=red>冷枪镖局<color>的印章，你决定去那里走一趟。		
1002	1055	30	40	70	在<color=red>成都<color>找到冷枪镖局贺老板<color=red>（376，316）<color>。镖局主人说儿子最近患了重病，需要以<color=red>五十副猴脑<color>做药引，你决定帮他这个忙。		
1002	1055	30	40	80	在<color=red>蜀冈山<color>上杀五十只灰猴，拿猴脑来治贺老板的儿子。		
1002	1055	30	40	90	贺老板<color=red>（376，316）<color>非常感激你救了他儿子。他说这很可能是最近江湖上兴起的<color=red>盗贼荷花盗<color>所为.他们时常出没在<color=red>昆仑派<color>附近。		
1002	1055	30	40	100	任务完成！贺老板建议你不要对荷花盗赶尽杀绝，并给你一颗<color=red>概率宝石<color>. 		
1002	1055	30	40	110	在<color=red>昆仑派<color>外找到了三个女子：荷花盗碧玉<color=red>（234，212）<color>、荷花盗如烟<color=red>（237，214）<color>、荷花盗曾梦<color=red>（236，212）<color>，她们就是荷花盗的首领。打败她们。		
1002	1055	30	40	120	回<color=red>成都<color>，镖局主人贺老板<color=red>（376，316）<color>说她们其实都是好人家的孩子，只是在出游时被一伙镖师侮辱，后来被异人收留才如此，既然钱财都已偿还，请你放过她们。		
1002	1055	30	40	130	知道了荷花盗的真实来历，可以回去找柳南云复命了。		
1002	1055	30	40	140	在<color=red>临安<color>找到柳南云<color=red>（171，190）<color>，告诉他有关莲花盗一事。		
1002	1055	30	40	1000	任务完成！柳南云给了你一颗<color=red>属性矿石<color>，告诉你用<color=red>概率宝石<color>，带孔<color=red>铠甲<color>和这颗矿石一起，可以去<color=red>临安<color>神秘铁匠处打造一件神秘装备。		
1002	1056	40	50	10	<color=red>临安<color>柳南云<color=red>（171，190）<color>说要想当一个好杀手，必须先学会观察别人的出招，找出破绽，一击必杀，让你去<color=red>比武场<color>参加一场擂台赛。	霸武天下	这世上有没有不死的战神？这人间是否存在永远无法战胜的对手？当他一次又一次从死亡边缘迈过的时候，就成为了一个神话。你需要打破它吗？或者躺在埋葬死者的乱坟乡。
1002	1056	40	50	20	去<color=red>比武场<color>（扬州/成都/襄阳）打一场比赛，感受与人斗的凶险。		
1002	1056	40	50	25	柳南云借比武告诉你，人外有人，天外有天的道理。		
1002	1056	40	50	27	任务完成！完成擂台赛。		
1002	1056	40	50	30	回<color=red>临安<color>找到柳南云<color=red>（171，190）<color>。		
1002	1056	40	50	40	这一次柳南云让你去比武场<color=red>打胜<color>一场比赛，看来有重要的事即将发生了。		
1002	1056	40	50	50	任务完成后，柳南云说在成都比武场有个连胜上百场的<color=red>渝湘津<color>，是比武场老板的眼中钉肉中刺，要你去杀掉他。		
1002	1056	40	50	60	任务完成！你决定到<color=red>成都<color>杀掉曾雄霸比武场的渝湘津<color=red>（421，304）<color>。渝湘津虽然不是坏人，但人在江湖身不由己，经过一场恶战，身为杀手的你将渝湘津击败。		
1002	1056	40	50	70	一场恶战之后，将渝湘津打败。回<color=red>临安<color>找柳南云<color=red>（171，190）<color>。		
1002	1056	40	50	80	回<color=red>临安<color>向柳南云<color=red>（171，190）<color>复命。		
1002	1056	40	50	1000	任务完成！得到阶段奖励。		
1002	1057	50	60	10	<color=red>临安<color>柳南云<color=red>（171，190）<color>说有个重要任务要交给你，不过你还需要磨练，可以先去打一场<color=red>宋金大战<color>，至少得到<color=red>两百个积分<color>。	多年之秘	柳南云居然是这样的人？他竟然曾有过那样惨痛的经历？年少时候的过错，真要遭到如此的惩罚吗？太狠毒的手段，纵使师出有名也不可原谅！手里的刀，这次绝不犹豫。
1002	1057	50	60	20	参加宋金大战，获得足够的积分，看来，最重要的任务在等着你了…		
1002	1057	50	60	30	回<color=red>临安<color>柳南云<color=red>（171，190）<color>处复命，得到奖励。		
1002	1057	50	60	40	任务完成！回答柳南云几个关于宋金的问题。		
1002	1057	50	60	50	需要回答12道有关新版宋金大战的问题。		
1002	1057	50	60	60	在答题过程中若回答错误，则从第一题重新开始回答。		
1002	1057	50	60	70	答对所有问题后，柳南云告诉你一个令人震惊的消息。他道出之所以被迫当上中间人这个角色，完全是拜当年江湖独行客<color=red>龙追舞<color>所赐.他因为年少气盛而错杀了龙追舞的独生儿子，龙一怒下将柳阉割，令他也没有儿子。找了这么久，盼了这么久，就是为了找一个能杀掉龙追舞的人。		
1002	1057	50	60	80	任务完成！龙追舞<color=red>（216，185）<color>精善易容术，常扮做女子.去<color=red>大理<color>将其找到。		
1002	1057	50	60	90	杀掉龙追舞<color=red>（216，185）<color>，为柳南云报仇。可以回去找柳南云回复了。		
1002	1057	50	60	100	回来到<color=red>临安<color>，将龙追舞已死一事告诉柳南云<color=red>（171，190）<color>。		
1002	1057	50	60	1000	任务完成！柳南云喜极而泣。		
1003	1058	20	30	10	<color=red>汴京<color>的拓跋怀川<color=red>（209，190）<color>透露大战在即，希望你能多加磨练自己。	拓跋怀川	原来找到一个进身之道并不是非常困难的事情。遇到汴京城的镖头拓跋怀川的时候，你也许还不知道，今后的路从此开始不同了。
1003	1058	20	30	20	拓跋怀川让你去<color=red>成都唐门<color>杀五十只黑叶猴。可以回去找拓跋怀川<color=red>（209，190）<color>了。		
1003	1058	20	30	30	成功杀完了黑叶猴，拓跋怀川非常满意。		
1003	1058	20	30	40	任务完成！拓跋怀川让你去<color=red>成都<color>找一个叫邹长久<color=red>（392，318）<color>的细作拿些重要的东西，应该是宋方的<color=red>布防图<color>。		
1003	1058	20	30	50	邹长久让你拿着<color=red>羊皮卷<color>赶紧出城，否则就出不去了。		
1003	1058	20	30	60	任务完成！邹长久嘱咐你拿着卷轴去<color=red>扬州<color>找一个叫沈风<color=red>（210，192）<color>的男子。		
1003	1058	20	30	70	与沈风对话，却发现他居然是宋朝武士假扮的。		
1003	1058	20	30	80	这家伙骂你是金狗，不杀他何以平愤！		
1003	1058	20	30	90	干掉了假扮沈风的武士，这原来不过是只纸老虎。回去告诉拓跋怀川这个消息吧，看来金国细作的行动已被南宋掌握了不少。		
1003	1058	20	30	100	回到<color=red>汴京<color>与拓跋怀川<color=red>（209，190）<color>对话，他很满意你的办事能力，看来大金确实是缺少人才了。任务完成。		
1003	1059	30	40	10	再次找到拓跋怀川，与他对话。	叛国之臣	拓跋怀川对你越信任，那种危机感就越重，透过越来越浑浊的呼吸，空气里传来了浓烈的血腥气。
1003	1059	30	40	20	拓跋怀川让你去<color=red>武夷山<color>杀掉五十只黄狼。		
1003	1059	30	40	30	完成了杀狼任务，拓跋怀川非常满意你的办事能力。		
1003	1059	30	40	40	任务完成！拓跋怀川让你速去<color=red>襄阳<color>寻找大金在南宋的细作首领刘蕴古<color=red>（201，199）<color>，打探关于金国出使南宋的官员<color=red>施宜生<color>，此人似乎有出卖国家的嫌疑。		
1003	1059	30	40	50	刘蕴古隐藏得很深，要不是你亮出拓跋的令牌，他的表现丝毫看不出是一名大金国的细作。		
1003	1059	30	40	60	刘蕴古告诉你施宜生确实有叛国倾向，你决定马上回去通知拓跋怀川。		
1003	1059	30	40	70	回<color=red>汴京<color>与拓跋怀川<color=red>（209，190）<color>对话，告诉他施宜生的可疑行为。拓跋听后非常生气！		
1003	1059	30	40	80	任务完成！拓跋怀川让你去<color=red>临安<color>找潜伏已久的细作，此人常扮做醉汉<color=red>（211，189）<color>流连于酒楼边，通过他将施宜生擒拿回来。		
1003	1059	30	40	90	与醉汉对话，他欣喜若狂，作为潜伏临安达十多载的金国武士，他对你的到来流露出一种强烈的情感。		
1003	1059	30	40	100	化装为酒鬼的细作提供给了你一切通行便利，你可以顺利的去捉拿<color=red>施宜生<color>了。		
1003	1059	30	40	110	你在<color=red>临安城外<color>成功抓住了施宜生<color=red>（211，211）<color>，可以回去向拓跋怀川复命了。		
1003	1059	30	40	120	回<color=red>汴京<color>与拓跋怀川<color=red>（209，190）<color>对话，他对你大为赞许。任务完成！		
1003	1060	40	50	10	拓跋怀川说，近日听闻南宋境内正举行擂台比武，据说许多隐居已久的高手纷纷复出，他觉得其中必有隐情。	襄阳大豪	南朝朝廷大兴比武赛事，在各地纷纷设立擂台，隐居的高手纷纷复出，习武之风盛行大江南北，这可不是个好兆头。
1003	1060	40	50	20	拓跋怀川让你去找<color=red>襄阳<color>刘蕴古<color=red>（201，199）<color>调查宋朝比武场的情况。		
1003	1060	40	50	30	刘蕴古说，南宋朝廷提供给武林人士的比武擂台，用意在于宣扬习武之风，可见南廷正预谋强化边防，充实军力，以对抗大金。		
1003	1060	40	50	40	你决定亲自去<color=red>比武场<color>（扬州/成都/襄阳）参加一场pk比赛。比赛完后再回<color=red>襄阳<color>与刘蕴古<color=red>（201，199）<color>详细商量对策。		
1003	1060	40	50	50	刘蕴古在听你介绍详细情况时似乎非常焦急。		
1003	1060	40	50	60	刘蕴古让你立即回<color=red>汴京<color>找到拓跋怀川<color=red>（209，190）<color>，详细介绍擂台赛的情况，不要遗漏任何一个细微的地方。		
1003	1060	40	50	70	拓跋怀川听过你的介绍非常气愤。		
1003	1060	40	50	80	拓跋怀川让你去比武场战胜一场，为大金国争口气。打赢才可以回去找他。		
1003	1060	40	50	90	南宋朝廷中提议推广擂台赛的官员乃是<color=red>襄阳<color>大豪阮明远<color=red>（222，200）<color>，此人本乃少林寺的俗家弟子，也算是武林中人，才会提议这种强国之道，目前他在襄阳野外筹备擂台赛事宜的时候。		
1003	1060	40	50	100	拓跋怀川让你去杀掉阮明远。		
1003	1060	40	50	110	你成功干掉了阮明远，可以回<color=red>汴京<color>向拓跋怀川<color=red>（209，190）<color>复命了。		
1003	1060	40	50	120	拓跋怀川答应你，一定向朝廷推荐你这样罕见的人才。任务完成！		
1003	1061	50	60	10	拓跋怀川果然言出必行，他说完颜庆熙大人已向皇上禀明，擢升你为平南军都察校尉。	绝杀	几十万大军开拔的尘土还未散去，一桩桩不利的消息便不断传来，大军受阻襄阳城，不在冬季到来前拿下该城，士气军心都将大受影响。
1003	1061	50	60	20	拓跋怀川已保荐你为果毅都尉，可你缺少军功，故让你去参与<color=red>宋金大战<color>，获取<color=red>二百个积分<color>。		
1003	1061	50	60	30	拿到了足够的积分，回<color=red>汴京<color>与拓跋怀川<color=red>（209，190）<color>对话。		
1003	1061	50	60	40	拓跋怀川对你大加赞赏，他说皇上准备召见你，所以预先问问你<color=red>宋金战场<color>的一些题目。		
1003	1061	50	60	50	正式开始问答了，似乎拓跋准备的相当充分，看来皇帝身边的人也不好当啊。		
1003	1061	50	60	60	问题的回答总算过关拉！		
1003	1061	50	60	70	对于你的回答，拓跋感到非常满意，看来你确实在宋金战场上磨练出了一身功夫。.		
1003	1061	50	60	80	拓跋怀川对你大加赞赏。不过他似乎脸色不太好，发生了一些什么困难呢？		
1003	1061	50	60	90	拓跋连声的叹息原来是为了大军南下受阻的事情。		
1003	1061	50	60	100	金国大军南下，受困襄阳，你奉命刺杀<color=red>襄阳<color>守备使盛尹<color=red>（169，219）<color>。		
1003	1061	50	60	110	刀刀似明月松风，招招如神龙摆尾，盛尹的斩马刀差一点要了你的命。生死一线，终究是你运气好了一点。可以回到<color=red>汴京<color>找拓跋怀川<color=red>（209，190）<color>了。		
1003	1061	50	60	120	回到<color=red>汴京<color>拓跋怀川<color=red>（209，190）<color>处。拓跋怀川大喜过望，他完全以家国为己任，仿佛是架国家的机器般，从不知疲倦的运行着。		
