TaskID	Genre	Detail	Particular	Level	GoodsFive	TaskValue1	TaskValue2	TaskRate1	TaskRate2	TaskRate3	TaskRate4	TaskRate5	TaskRate6	TaskRate7	TaskRate8	TaskRate9	TaskRate10	TaskRate11	TaskRate12	TaskRate13	TaskRate14	TaskRate15	TaskRate16	TaskRate17	TaskRate18	TaskRate19	TaskRate20	TaskInfo	TaskInfo1
1025	0	0	5	3	3	2700	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	扬州武器铺	火属性月牙刺
1026	0	8	1	4	2	1000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	扬州杂货铺	水属性蟒皮护腕
1027	0	0	2	3	1	3000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	临安铁匠铺	木属性盘花棍
1028	0	5	2	5	1	1600	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	临安杂货铺	木属性缎鞋
1029	0	10	3	3	1	10000	10000	0	1000	2000	3000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0	0	0	0	0	大理马贩	木属性3级黑马
1030	0	10	2	3	2	10000	10000	0	1000	2000	3000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0	0	0	0	0	凤翔马贩	水属性3级白马
1031	0	10	3	3	2	10000	10000	0	1000	2000	3000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0	0	0	0	0	襄阳马贩	水属性3级黑马
1032	0	10	4	3	3	10000	10000	0	1000	2000	3000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0	0	0	0	0	成都马贩	火属性3级红马
1033	0	10	2	3	0	10000	10000	0	1000	2000	3000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0	0	0	0	0	汴京马贩	金属性3级白马
1034	0	10	1	3	1	10000	10000	0	1000	2000	3000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0	0	0	0	0	扬州马贩	木属性3级青马
1035	0	10	0	3	4	10000	10000	0	1000	2000	3000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0	0	0	0	0	临安马贩	土属性3级黄马
