TaskID	MapID	TaskInfo1	Num	MapType	TaskValue1	TaskValue2	TaskRate1	TaskRate2	TaskRate3	TaskRate4	TaskRate5	TaskRate6	TaskRate7	TaskRate8	TaskRate9	TaskRate10	TaskRate11	TaskRate12	TaskRate13	TaskRate14	TaskRate15	TaskRate16	TaskRate17	TaskRate18	TaskRate19	TaskRate20
4016	1	凤翔	1	2	0	600000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4017	11	成都	1	2	0	600000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4018	37	汴京	1	2	0	600000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4019	78	襄阳	1	2	0	600000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4020	80	扬州	1	2	0	600000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4021	162	大理	1	2	0	600000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4022	176	临安	1	2	0	600000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4023	99	永乐镇	1	2	0	600000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4024	100	朱仙镇	1	2	0	600000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4025	101	稻香村	1	2	0	600000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4026	153	石鼓镇	1	2	0	600000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4027	121	龙门镇	1	2	0	600000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4028	53	巴陵县	1	2	0	600000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4029	174	龙泉村	1	2	0	600000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4030	20	江津村	1	2	0	600000	500	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4032	71	白水洞迷宫	5	1	0	280000	5000	6000	9000	8000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4033	73	伏流洞迷宫	5	1	0	280000	5000	6000	9000	8000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4034	83	火狼洞迷宫	5	1	0	280000	5000	6000	9000	8000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4035	115	丐帮	5	1	0	280000	5000	6000	9000	8000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4036	7	秦陵	5	1	0	280000	5000	6000	9000	8000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4037	43	剑阁中原	5	1	0	280000	5000	6000	9000	8000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4038	70	武陵山	5	1	0	280000	5000	6000	9000	8000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4039	179	罗霄山	5	1	0	280000	5000	6000	9000	8000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4040	19	剑阁西南	5	1	0	280000	5000	6000	9000	8000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4042	71	白水洞迷宫	2	2	0	1500000	400	450	450	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4043	73	伏流洞迷宫	2	2	0	1500000	400	450	450	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4044	83	火狼洞迷宫	2	2	0	1500000	400	450	450	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4045	115	丐帮	2	2	0	1500000	400	450	450	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4046	7	秦陵	2	2	0	1500000	400	450	450	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4047	43	剑阁中原	2	2	0	1500000	400	450	450	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4048	70	武陵山	2	2	0	1500000	400	450	450	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4049	179	罗霄山	2	2	0	1500000	400	450	450	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4050	19	剑阁西南	2	2	0	1500000	400	450	450	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4053	136	快活林	6	1	0	200000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4054	141	药王洞一层	6	1	0	200000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4055	8	秦始皇陵地下	6	1	0	200000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4056	170	土匪迷宫	6	1	0	200000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4057	4	金光洞迷宫	6	1	0	200000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4058	77	燕子洞迷宫	6	1	0	350000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4059	22	白云洞迷宫	6	1	0	200000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4060	193	武夷山	6	1	0	350000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4061	74	苗岭	6	1	0	350000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4062	90	伏牛山东	6	1	0	350000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4063	92	蜀冈山	6	1	0	350000	0	0	9000	7000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4066	136	快活林	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4067	141	药王洞一层	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4068	8	秦始皇陵地下	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4069	170	土匪迷宫	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4070	4	金光洞迷宫	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4071	77	燕子洞迷宫	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4072	22	白云洞迷宫	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4073	193	武夷山	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4074	74	苗岭	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4075	90	伏牛山东	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4076	92	蜀冈山	2	2	0	1500000	0	0	500	600	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4077	180	龙宫洞迷宫	6	1	0	250000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4078	5	经皇洞迷宫	6	1	0	250000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4079	122	黄河源头	6	1	0	400000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4080	23	神仙洞迷宫	6	1	0	250000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4081	91	鸡冠洞迷宫	6	1	0	400000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4082	171	点苍洞一层	6	1	0	250000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4083	172	点苍洞二层	6	1	0	250000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4084	173	点苍洞三层	6	1	0	250000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4085	135	见性峰山洞	6	1	0	250000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4086	6	锁云洞迷宫	6	1	0	250000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4087	168	凤眼洞迷宫	6	1	0	400000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4088	41	伏牛山西	6	1	0	400000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4089	167	点苍山	6	1	0	400000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4090	21	青城山	6	1	0	400000	0	0	3000	5000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4091	180	龙宫洞迷宫	2	2	0	1500000	0	0	200	300	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4092	5	经皇洞迷宫	2	2	0	1500000	0	0	200	300	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4093	122	黄河源头	2	2	0	1500000	0	0	200	300	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4094	23	神仙洞迷宫	2	2	0	1500000	0	0	200	300	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4095	91	鸡冠洞迷宫	2	2	0	1500000	0	0	200	300	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4096	171	点苍洞一层	2	2	0	1500000	0	0	200	300	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4097	172	点苍洞二层	2	2	0	1500000	0	0	200	300	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4098	173	点苍洞三层	2	2	0	1500000	0	0	200	300	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4099	135	见性峰山洞	2	2	0	1500000	0	0	200	300	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4100	6	锁云洞迷宫	2	2	0	1500000	0	0	200	300	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4101	168	凤眼洞迷宫	2	2	0	1500000	0	0	200	300	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4102	41	伏牛山西	2	2	0	1500000	0	0	200	300	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4103	167	点苍山	2	2	0	1500000	0	0	200	300	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4104	21	青城山	2	2	0	1500000	0	0	200	300	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4107	39	铁塔迷宫二层	8	1	0	300000	0	0	0	0	0	10000	8000	6000	4000	2000	0	0	0	0	0	0	0	0	0	0
4109	40	铁塔迷宫三层	8	1	0	300000	0	0	0	0	0	10000	8000	6000	4000	2000	0	0	0	0	0	0	0	0	0	0
4110	163	恶霸家地道	8	1	0	300000	0	0	0	0	0	10000	8000	6000	4000	2000	0	0	0	0	0	0	0	0	0	0
4111	38	铁塔迷宫一层	8	1	0	300000	0	0	0	0	0	10000	8000	6000	4000	2000	0	0	0	0	0	0	0	0	0	0
4112	116	祥云洞一层	8	1	0	300000	0	0	0	0	0	10000	8000	6000	4000	2000	0	0	0	0	0	0	0	0	0	0
4113	165	千寻塔二层	8	1	0	300000	0	0	0	0	0	10000	8000	6000	4000	2000	0	0	0	0	0	0	0	0	0	0
4114	132	冰穴迷宫	8	1	0	500000	0	0	0	0	0	10000	8000	6000	4000	2000	0	0	0	0	0	0	0	0	0	0
4115	42	天心洞迷宫	8	1	0	300000	0	0	0	0	0	10000	8000	6000	4000	2000	0	0	0	0	0	0	0	0	0	0
4116	66	洞庭湖底山洞	8	1	0	500000	0	0	0	0	0	10000	8000	6000	4000	2000	0	0	0	0	0	0	0	0	0	0
4117	194	玉华洞迷宫	8	1	0	300000	0	0	0	0	0	10000	8000	6000	4000	2000	0	0	0	0	0	0	0	0	0	0
4118	164	千寻塔一层	8	1	0	300000	0	0	0	0	0	10000	8000	6000	4000	2000	0	0	0	0	0	0	0	0	0	0
4119	182	孽龙洞迷宫	8	1	0	300000	0	0	0	0	0	10000	8000	6000	4000	2000	0	0	0	0	0	0	0	0	0	0
4120	24	响水洞迷宫	8	1	0	300000	0	0	0	0	0	10000	8000	6000	4000	2000	0	0	0	0	0	0	0	0	0	0
4123	39	铁塔迷宫二层	2	2	0	1500000	0	0	0	0	0	250	300	350	400	450	0	0	0	0	0	0	0	0	0	0
4125	40	铁塔迷宫三层	2	2	0	1500000	0	0	0	0	0	250	300	350	400	450	0	0	0	0	0	0	0	0	0	0
4126	163	恶霸家地道	2	2	0	1500000	0	0	0	0	0	250	300	350	400	450	0	0	0	0	0	0	0	0	0	0
4127	38	铁塔迷宫一层	2	2	0	1500000	0	0	0	0	0	250	300	350	400	450	0	0	0	0	0	0	0	0	0	0
4128	116	祥云洞一层	2	2	0	1500000	0	0	0	0	0	250	300	350	400	450	0	0	0	0	0	0	0	0	0	0
4129	165	千寻塔二层	2	2	0	1500000	0	0	0	0	0	250	300	350	400	450	0	0	0	0	0	0	0	0	0	0
4130	132	冰穴迷宫	2	2	0	1500000	0	0	0	0	0	250	300	350	400	450	0	0	0	0	0	0	0	0	0	0
4131	42	天心洞迷宫	2	2	0	1500000	0	0	0	0	0	250	300	350	400	450	0	0	0	0	0	0	0	0	0	0
4132	66	洞庭湖底山洞	2	2	0	1500000	0	0	0	0	0	250	300	350	400	450	0	0	0	0	0	0	0	0	0	0
4133	194	玉华洞迷宫	2	2	0	1500000	0	0	0	0	0	250	300	350	400	450	0	0	0	0	0	0	0	0	0	0
4134	164	千寻塔一层	2	2	0	1500000	0	0	0	0	0	250	300	350	400	450	0	0	0	0	0	0	0	0	0	0
4135	182	孽龙洞迷宫	2	2	0	1500000	0	0	0	0	0	250	300	350	400	450	0	0	0	0	0	0	0	0	0	0
4136	24	响水洞迷宫	2	2	0	1500000	0	0	0	0	0	250	300	350	400	450	0	0	0	0	0	0	0	0	0	0
4139	118	祥云洞三层	10	1	0	350000	0	0	0	0	0	6000	7000	8000	9000	9000	0	0	0	0	0	0	0	0	0	0
4140	79	襄阳城衙门秘道	10	1	0	350000	0	0	0	0	0	6000	7000	8000	9000	9000	0	0	0	0	0	0	0	0	0	0
4141	119	祥云洞四层	10	1	0	350000	0	0	0	0	0	6000	7000	8000	9000	9000	0	0	0	0	0	0	0	0	0	0
4142	117	祥云洞二层	10	1	0	350000	0	0	0	0	0	6000	7000	8000	9000	9000	0	0	0	0	0	0	0	0	0	0
4143	166	千寻塔三层	10	1	0	350000	0	0	0	0	0	6000	7000	8000	9000	9000	0	0	0	0	0	0	0	0	0	0
4144	56	衡山派	10	1	0	550000	0	0	0	0	0	6000	7000	8000	9000	9000	0	0	0	0	0	0	0	0	0	0
4145	196	羊角洞迷宫	10	1	0	350000	0	0	0	0	0	6000	7000	8000	9000	9000	0	0	0	0	0	0	0	0	0	0
4146	114	一百零八罗汉阵	10	1	0	350000	0	0	0	0	0	6000	7000	8000	9000	9000	0	0	0	0	0	0	0	0	0	0
4149	118	祥云洞三层	2	2	0	1500000	0	0	0	0	0	300	350	400	450	450	0	0	0	0	0	0	0	0	0	0
4150	79	襄阳城衙门秘道	2	2	0	1500000	0	0	0	0	0	300	350	400	450	450	0	0	0	0	0	0	0	0	0	0
4151	119	祥云洞四层	2	2	0	1500000	0	0	0	0	0	300	350	400	450	450	0	0	0	0	0	0	0	0	0	0
4152	117	祥云洞二层	2	2	0	1500000	0	0	0	0	0	300	350	400	450	450	0	0	0	0	0	0	0	0	0	0
4153	166	千寻塔三层	2	2	0	1500000	0	0	0	0	0	300	350	400	450	450	0	0	0	0	0	0	0	0	0	0
4154	56	衡山派	2	2	0	1500000	0	0	0	0	0	300	350	400	450	450	0	0	0	0	0	0	0	0	0	0
4155	196	羊角洞迷宫	2	2	0	1500000	0	0	0	0	0	300	350	400	450	450	0	0	0	0	0	0	0	0	0	0
4156	114	一百零八罗汉阵	2	2	0	1500000	0	0	0	0	0	300	350	400	450	450	0	0	0	0	0	0	0	0	0	0
4158	94	灵谷洞密宫	10	1	0	750000	0	0	0	0	0	2000	3000	4000	5000	6000	0	0	0	0	0	0	0	0	0	0
4159	120	祥云洞五层	10	1	0	420000	0	0	0	0	0	2000	3000	4000	5000	6000	0	0	0	0	0	0	0	0	0	0
4160	123	老虎洞迷宫	10	1	0	420000	0	0	0	0	0	2000	3000	4000	5000	6000	0	0	0	0	0	0	0	0	0	0
4161	206	秦始皇陵地下二层	10	1	0	750000	0	0	0	0	0	2000	3000	4000	5000	6000	0	0	0	0	0	0	0	0	0	0
4162	76	山宝洞迷宫	10	1	0	750000	0	0	0	0	0	2000	3000	4000	5000	6000	0	0	0	0	0	0	0	0	0	0
4163	72	大酋洞迷宫	10	1	0	420000	0	0	0	0	0	2000	3000	4000	5000	6000	0	0	0	0	0	0	0	0	0	0
4164	142	药王洞二层	10	1	0	420000	0	0	0	0	0	2000	3000	4000	5000	6000	0	0	0	0	0	0	0	0	0	0
4165	169	龙眼洞迷宫	10	1	0	420000	0	0	0	0	0	2000	3000	4000	5000	6000	0	0	0	0	0	0	0	0	0	0
4166	9	长江源头	10	1	0	420000	0	0	0	0	0	2000	3000	4000	5000	6000	0	0	0	0	0	0	0	0	0	0
4167	55	桃花源	10	1	0	750000	0	0	0	0	0	2000	3000	4000	5000	6000	0	0	0	0	0	0	0	0	0	0
4168	319	临渝关	10	1	0	420000	0	0	0	0	0	2000	3000	4000	5000	6000	0	0	0	0	0	0	0	0	0	0
4170	94	灵谷洞密宫	3	2	0	2000000	0	0	0	0	0	100	150	200	250	300	0	0	0	0	0	0	0	0	0	0
4171	120	祥云洞五层	3	2	0	2000000	0	0	0	0	0	100	150	200	250	300	0	0	0	0	0	0	0	0	0	0
4172	123	老虎洞迷宫	3	2	0	2000000	0	0	0	0	0	100	150	200	250	300	0	0	0	0	0	0	0	0	0	0
4173	206	秦始皇陵地下二层	3	2	0	2000000	0	0	0	0	0	100	150	200	250	300	0	0	0	0	0	0	0	0	0	0
4174	76	山宝洞迷宫	3	2	0	2000000	0	0	0	0	0	100	150	200	250	300	0	0	0	0	0	0	0	0	0	0
4175	72	大酋洞迷宫	3	2	0	2000000	0	0	0	0	0	100	150	200	250	300	0	0	0	0	0	0	0	0	0	0
4176	142	药王洞二层	3	2	0	2000000	0	0	0	0	0	100	150	200	250	300	0	0	0	0	0	0	0	0	0	0
4177	169	龙眼洞迷宫	3	2	0	2000000	0	0	0	0	0	100	150	200	250	300	0	0	0	0	0	0	0	0	0	0
4178	9	长江源头	3	2	0	2000000	0	0	0	0	0	100	150	200	250	300	0	0	0	0	0	0	0	0	0	0
4179	55	桃花源	3	2	0	2000000	0	0	0	0	0	100	150	200	250	300	0	0	0	0	0	0	0	0	0	0
4180	319	临渝关	3	2	0	2000000	0	0	0	0	0	100	150	200	250	300	0	0	0	0	0	0	0	0	0	0
4183	207	秦始皇陵地下三层	12	1	0	500000	0	0	0	0	0	0	0	0	0	0	10000	9500	9000	8500	8000	0	0	0	0	0
4184	143	药王洞三层	12	1	0	500000	0	0	0	0	0	0	0	0	0	0	10000	9500	9000	8500	8000	0	0	0	0	0
4185	10	雁石洞迷宫	12	1	0	500000	0	0	0	0	0	0	0	0	0	0	10000	9500	9000	8500	8000	0	0	0	0	0
4186	198	清溪洞迷宫	12	1	0	500000	0	0	0	0	0	0	0	0	0	0	10000	9500	9000	8500	8000	0	0	0	0	0
4187	200	古阳洞迷宫	12	1	0	500000	0	0	0	0	0	0	0	0	0	0	10000	9500	9000	8500	8000	0	0	0	0	0
4188	201	冰河洞迷宫	12	1	0	500000	0	0	0	0	0	0	0	0	0	0	10000	9500	9000	8500	8000	0	0	0	0	0
4189	203	无名洞迷宫	12	1	0	500000	0	0	0	0	0	0	0	0	0	0	10000	9500	9000	8500	8000	0	0	0	0	0
4190	205	阳中洞迷宫	12	1	0	500000	0	0	0	0	0	0	0	0	0	0	10000	9500	9000	8500	8000	0	0	0	0	0
4191	181	两水洞迷宫	12	1	0	500000	0	0	0	0	0	0	0	0	0	0	10000	9500	9000	8500	8000	0	0	0	0	0
4192	199	武陵洞迷宫	12	1	0	500000	0	0	0	0	0	0	0	0	0	0	10000	9500	9000	8500	8000	0	0	0	0	0
4193	202	芙蓉洞迷宫	12	1	0	500000	0	0	0	0	0	0	0	0	0	0	10000	9500	9000	8500	8000	0	0	0	0	0
4194	204	飞天洞迷宫	12	1	0	500000	0	0	0	0	0	0	0	0	0	0	10000	9500	9000	8500	8000	0	0	0	0	0
4195	224	沙漠地表	12	1	0	500000	0	0	0	0	0	0	0	0	0	0	10000	9500	9000	8500	8000	0	0	0	0	0
4196	320	长白山脚	12	1	0	500000	0	0	0	0	0	0	0	0	0	0	10000	9500	9000	8500	8000	0	0	0	0	0
4199	207	秦始皇陵地下三层	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	500	600	700	800	900	0	0	0	0	0
4200	143	药王洞三层	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	500	600	700	800	900	0	0	0	0	0
4201	10	雁石洞迷宫	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	500	600	700	800	900	0	0	0	0	0
4202	198	清溪洞迷宫	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	500	600	700	800	900	0	0	0	0	0
4203	200	古阳洞迷宫	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	500	600	700	800	900	0	0	0	0	0
4204	201	冰河洞迷宫	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	500	600	700	800	900	0	0	0	0	0
4205	203	无名洞迷宫	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	500	600	700	800	900	0	0	0	0	0
4206	205	阳中洞迷宫	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	500	600	700	800	900	0	0	0	0	0
4207	181	两水洞迷宫	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	500	600	700	800	900	0	0	0	0	0
4208	199	武陵洞迷宫	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	500	600	700	800	900	0	0	0	0	0
4209	202	芙蓉洞迷宫	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	500	600	700	800	900	0	0	0	0	0
4210	204	飞天洞迷宫	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	500	600	700	800	900	0	0	0	0	0
4211	224	沙漠地表	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	500	600	700	800	900	0	0	0	0	0
4212	320	长白山脚	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	500	600	700	800	900	0	0	0	0	0
4214	124	轩辕洞迷宫	6	1	0	1200000	0	0	0	0	0	0	0	0	0	0	2000	2500	3000	3500	4000	10000	10000	10000	10000	10000
4215	93	荐菊洞密宫	12	1	0	1000000	0	0	0	0	0	0	0	0	0	0	2000	2500	3000	3500	4000	10000	10000	10000	10000	10000
4216	75	蚩尤洞迷宫	12	1	0	1000000	0	0	0	0	0	0	0	0	0	0	2000	2500	3000	3500	4000	10000	10000	10000	10000	10000
4217	144	药王洞四层	12	1	0	1000000	0	0	0	0	0	0	0	0	0	0	2000	2500	3000	3500	4000	10000	10000	10000	10000	10000
4218	225	沙漠山洞1	12	1	0	600000	0	0	0	0	0	0	0	0	0	0	2000	2500	3000	3500	4000	10000	10000	10000	10000	10000
4219	226	沙漠山洞2	12	1	0	600000	0	0	0	0	0	0	0	0	0	0	2000	2500	3000	3500	4000	10000	10000	10000	10000	10000
4220	227	沙漠山洞3	12	1	0	600000	0	0	0	0	0	0	0	0	0	0	2000	2500	3000	3500	4000	10000	10000	10000	10000	10000
4221	321	长白山南麓	12	1	0	600000	0	0	0	0	0	0	0	0	0	0	2000	2500	3000	3500	4000	10000	10000	10000	10000	10000
4222	322	长白山北麓	12	1	0	600000	0	0	0	0	0	0	0	0	0	0	2000	2500	3000	3500	4000	10000	10000	10000	10000	10000
4223	340	莫高窟	12	1	0	680000	0	0	0	0	0	0	0	0	0	0	2000	2500	3000	3500	4000	10000	10000	10000	10000	10000
4224	124	轩辕洞迷宫	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900
4225	93	荐菊洞密宫	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900
4226	75	蚩尤洞迷宫	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900
4227	144	药王洞四层	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900
4228	225	沙漠山洞1	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900
4229	226	沙漠山洞2	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900
4230	227	沙漠山洞3	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900
4231	321	长白山南麓	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900
4232	322	长白山北麓	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900
4233	340	莫高窟	3	2	0	2000000	0	0	0	0	0	0	0	0	0	0	100	150	200	250	300	500	600	700	800	900
