TaskID	TaskName	TaskInfo
13	智勇双全	有时候光有一身好武艺是不够的。现在需要展现各位的智慧了。如果队伍里每个人都能答对10个题目那你们就能顺利过关。
14	一只也不能多	等下会出现很多刺猬，当你们杀掉33只后记得停手，因为杀掉33只后再过30秒就能过关了。但是如果你们不小心多杀了那么就会招来凶狠的刺猬王，一旦它出现，各位就必须把它击败方可过关。
15	真假新娘	有位糊涂新郎官面对着三位新娘子弄不清楚哪位才是他的新娘了，各位帮他们选一位，选对了就能直接过关而且还能获得剑冢秘宝里的小奖励。如果选错了那么必须把假新娘打败才能过关。
16	柳药师的谜语	钰龙医仙柳药师会给你们每个人发一个谜语，每个谜语打一种药材，根据谜语猜出谜底然后采到这种药材，把药材和谜语一起交给柳药师。每人都猜中一次就可以过关，万一猜错了那就只能继续猜了。
17	相生相克	钰龙山庄有一对长得一模一样的活宝，一个叫相生子，一个叫相克子。等下你们要分别和他们两个对话，他们会告诉你一种五行，需要指定的人根据这个五行去开启相应的雕像。如果是和相生子对话，那就要开启指定五行生成的五行雕像，如果是和相克子对话，则要开启指定五行所克的五行雕像。总共正确开启20次才能过关。
18	一百个馒头	击败迟太堡的弟弟们会有机会获得馒头，集齐一百个交给季鄂就能过关。
19	甄氲	甄氲是钰龙山庄里一位神秘的高手，他有一项让对手非常难受的技能——眩晕30秒，这个技能会大大延长你们的战斗过程，最好的解决方法是使用宁神符来解除。宁神符从何而来？我也不知道。反正不管有多难，你们必须击败甄氲方可过关。
20	霍炎炎	击败霍炎炎便可过关。
21	杀之不尽	把男弟子都击败便可过关。如果你击败的是女弟子的话，每击败一个便会出现另外两个。
22	钰龙高手	击败三十个钰龙高手便可过关。记住，要速战速决。
23	坚持就是胜利	如果能在这个恐怖的屋子里保命五分钟，那你们就可以过关了。
24	钰龙神兽	传说中的钰龙神兽出现了！击败它以及守卫它的护卫便可过关。战斗时或者你们需要研究下周围那些柱子是干嘛用的。
25	迟太堡	击败迟太堡便可过关。不会轻功的侠士在这里恐怕很容易牺牲。
26	文怡	钰龙山庄唯一一位女长老，集惊世的武艺与倾城的容貌于一身。击败她，你们才能过关。
27	黎见衡	钰龙山庄长老之一，与文怡是一对情侣，武艺神秘莫测。击败他你们才能过关。
28	张宜凡	等下会出现三个柱子，你们现在要做的就是开启柱子，直到你们见到四大钰龙长老之一张宜凡为止。击败张宜凡方可过关。
29	钰龙弟子	5秒之后所有人都会被定身五秒，之后每10秒会被定身一次。你们要做的事就是尽快击败80个钰龙弟子。
30	为相生子疗伤	相生子被金国武士打伤了，你们当中的一个人要帮他运功疗伤，疗伤过程中如果被打断则前功尽弃，需要重新开始。其他队友要尽快击杀追来的金国武士。当疗伤完毕之后相生子兄弟回送你们过关。
31	破碗儿	别小看破碗儿这个小女孩，你们要击败她可不容易，尤其是她不知道从哪里学来的反弹技能，会让你很头疼的。无论如何，你们必须击败她才可以过关。
32	生死相依	哇，两位传说中青梅竹马的钰龙长老同时出现了！如果你们击败了其中一个，又不能在5秒内迅速击败另一个，则前面那个会重生哦。所以一定要把握好时间。
33	开不完的箱子	击败所有钰龙高手打开中间那个箱子，打开箱子之后会是什么结果呢？过关？出现更多的敌人？出现新的箱子？总之你们要有足够的耐心才行。
34	循序渐进	等下会出现四个柱子，必须打败周围的钰龙弟子才能开启柱子，注意柱子要按一定的顺序开启才能过关，如果顺序不对则你们会需要击败武艺高强的钰龙长老之一刘骏。至于应该按照什么顺序开启柱子，你们会知道的。
35	你敢打开吗	等下会出现两个箱子，你们需要选择其中一个并打开它。打开之后会发生什么事？你们开了就知道了。
36	陷阱大王	见过最专业的陷阱高手吗？钰龙山庄护法之一唐贤进就是一位埋陷阱的高手。你们要击败他才能通过此关。
37	环环相扣	击败迟太堡你们会获得某个柱子的钥匙，拿着钥匙开启指定的柱子之后迟太堡会再次出现，再次击败他获得另一个柱子的钥匙，就这样反复知道把所有柱子都开启完就可以过关了。如果你们开错了柱子，那么开启的人会死得很惨，而且会把古绝杀引来。要把古绝杀击败才能继续开启柱子。
38	四大弟子	钰龙山庄四大弟子会在这一关与你们切磋。记住千万不要盲目一拥而上，这样你们会死得很惨的。先开启柱子看下要和哪位弟子进行切磋，战胜这位弟子后他会告诉你下一位和你们对阵的是谁，就这样轮流根据他们的提示把他们一一击败就能过关了。切记一定要遵守游戏规则。
39	百人斩	击败一百个敌人，你们就能过关了，这可是名副其实的“百人斩”呢。
40	越快越好	速战速决把柱子打下就能过关，每过一分钟你们就会有一位队友被重伤，这里考验的是你们的速战能力。
41	古绝杀	击败古绝杀就能过关，记得多带点药。
42	猜数字	要通过这关得看各位的运气，1至100这100个数字当中有一个是幸运数字，还有一个是倒霉数字，只要你们当中有一个人能猜中幸运数字便可过关，至于如果猜中倒霉数字会倒霉成什么样子？等你们谁猜中了就知道了。
43	越远越好	击败古绝杀才能过关，如果你们看到他即将使出绝技，那记住要跑开，跑的越远越好。
44	危险！快跳！	击败穆明便能过关，轻功在战斗过程中会很有用。
45	钥匙在哪里	击败不断出现的钰龙弟子，直到获得钥匙为止。用钥匙打开石碑便能过关。
46	东南西北	要按照东南西北的顺序开启这4个柱子才能过关，柱子的钥匙在钰龙弟子身上。记住钥匙是不可交易的。
47	制作钥匙	从钰龙弟子身上获得钥匙材料，每10个材料可以到听听处制作成一把钥匙，需要10把钥匙才能开启石碑过关。
48	三生石	每点击一次石碑便会出现一批钰龙弟子，击败他们有机会获得三生石的材料和合成配方，根据配方用指定材料到石碑处合成三生石。点击三生石可以召唤出听听，击败他便能过关。
49	终极考验	恭喜你们来到剑冢迷宫的最深处，等下你们就会见到钰龙山庄庄主了！
