名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值
易容面具-霸王蝙蝠	0	11	50	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		27	27													31	1	1															
易容面具-红霸王蝙蝠	0	11	51	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		28	28													31	1	1															
易容面具-溶洞蝙蝠	0	11	52	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		29	29													31	1	1															
易容面具-吸血蝙蝠	0	11	53	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		30	30													31	1	1															
易容面具-金猫	0	11	54	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		31	31													31	1	1															
易容面具-猞猁	0	11	55	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		32	32													31	1	1															
易容面具-浣熊	0	11	56	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		33	33													31	1	1															
易容面具-灵猫	0	11	57	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		34	34													31	1	1															
易容面具-藏域猴	0	11	58	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		35	35													31	1	1															
易容面具-灰叶猴	0	11	59	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		36	36													31	1	1															
易容面具-黑叶猴	0	11	60	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		37	37													31	1	1															
易容面具-金丝猴	0	11	61	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		38	38													31	1	1															
易容面具-豺	0	11	62	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		39	39													31	1	1															
易容面具-雪怪	0	11	63	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		40	40													31	1	1															
易容面具-蛤蟆	0	11	64	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		41	41													31	1	1															
易容面具-梅花鹿	0	11	65	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		42	42													31	1	1															
易容面具-白猪	0	11	66	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		43	43													31	1	1															
易容面具-蝎子	0	11	67	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		44	44													31	1	1															
易容面具-蜘蛛	0	11	68	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		45	45													31	1	1															
易容面具-蜈蚣	0	11	69	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该动物的样子。		100	1	0		46	46													31	1	1															
易容面具-圣诞老人(红)	0	11	70	\spr\item\equip\mask\yrmj_01.spr	379	1	1	圣诞节日面具，装备到装备栏中即可变成圣诞老人的样子		100	1	0		623	623													31	1	1															
易容面具-圣诞天使(红)	0	11	71	\spr\item\equip\mask\yrmj_01.spr	379	1	1	圣诞节日面具，装备到装备栏中即可变成圣诞天使的样子		100	1	0		624	624													31	1	1															
节日面具-大头娃娃	0	11	72	\spr\item\equip\mask\yrmj_01.spr	379	1	1	新春面具，戴上之后，可以装扮成舞扇子的大头娃娃。		100	1	0		726	726													31	1	1															
节日面具-舞南狮子	0	11	73	\spr\item\equip\mask\yrmj_01.spr	379	1	1	新春面具，戴上之后，可以装扮成南方的舞狮子。		100	1	0		727	727													31	1	1															
节日面具-舞北狮子	0	11	74	\spr\item\equip\mask\yrmj_01.spr	379	1	1	新春面具，戴上之后，可以装扮成北方的舞狮子。		100	1	0		728	728													31	1	1															
节日面具-舞龙珠	0	11	75	\spr\item\equip\mask\yrmj_01.spr	379	1	1	新春面具，戴上之后，可以装扮成舞龙珠的人。		100	1	0		729	729													31	1	1															
节日面具-舞龙头	0	11	76	\spr\item\equip\mask\yrmj_01.spr	379	1	1	新春面具，戴上之后，可以装扮成舞龙头的人。		100	1	0		730	730													31	1	1															
节日面具-舞龙身	0	11	77	\spr\item\equip\mask\yrmj_01.spr	379	1	1	新春面具，戴上之后，可以装扮成舞龙身的人。		100	1	0		731	731													31	1	1															
节日面具-舞龙尾	0	11	78	\spr\item\equip\mask\yrmj_01.spr	379	1	1	新春面具，戴上之后，可以装扮成舞龙尾的人。		100	1	0		732	732													31	1	1															
易容面具-步嚣尘	0	11	79	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		851	851													31	1	1															
易容面具-乔鼎天	0	11	80	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		852	852													31	1	1															
易容面具-刁易刀	0	11	81	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		853	853													31	1	1															
易容面具-西门无戒	0	11	82	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		854	854													31	1	1															
易容面具-候乞剑	0	11	83	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		855	855													31	1	1															
易容面具-应啸风	0	11	84	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		856	856													31	1	1															
易容面具-袁念夕	0	11	85	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		857	857													31	1	1															
易容面具-褚天悯	0	11	86	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		858	858													31	1	1															
易容面具-王佐	0	11	87	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		739	739													31	10	10															
易容面具-玄觉大师	0	11	88	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	2	1		740	740													31	10	10															
易容面具-唐不染	0	11	89	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	3	2		741	741													31	10	10															
易容面具-白莹莹	0	11	90	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	4	3		742	742													31	10	10															
易容面具-清绝师太	0	11	91	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	5	4		743	743													31	10	10															
易容面具-嫣晓倩	0	11	92	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	6	5		744	744													31	10	10															
易容面具-何人我	0	11	93	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	7	6		745	745													31	10	10															
易容面具-单思南	0	11	94	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	8	7		746	746													31	10	10															
易容面具-璇玑子	0	11	95	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	9	8		747	747													31	10	10															
易容面具-韩蒙	0	11	96	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	10	9		748	748													31	10	10															
单次易容面具-少年雷剑	0	11	97	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1056	1056													31	1	1															
单次易容面具-少年笑霜	0	11	98	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1057	1057													31	1	1															
单次易容面具-少年火刃	0	11	99	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1058	1058													31	1	1															
单次易容面具-少年海棠	0	11	100	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1059	1059													31	1	1															
单次易容面具-少年金锋	0	11	101	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1060	1060													31	1	1															
易容面具-少年雷剑	0	11	102	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1056	1056													31	10	10															
易容面具-少年笑霜	0	11	103	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1057	1057													31	10	10															
易容面具-少年火刃	0	11	104	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1058	1058													31	10	10															
易容面具-少年海棠	0	11	105	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1059	1059													31	10	10															
易容面具-少年金锋	0	11	106	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1060	1060													31	10	10															
单次易容面具-青年雷剑	0	11	107	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1043	1043													31	1	1															
单次易容面具-青年笑霜	0	11	108	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1044	1044													31	1	1															
单次易容面具-青年火刃	0	11	109	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1045	1045													31	1	1															
单次易容面具-青年海棠	0	11	110	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1046	1046													31	1	1															
单次易容面具-青年金锋	0	11	111	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1047	1047													31	1	1															
易容面具-青年雷剑	0	11	112	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1043	1043													31	10	10															
易容面具-青年笑霜	0	11	113	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1044	1044													31	10	10															
易容面具-青年火刃	0	11	114	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1045	1045													31	10	10															
易容面具-青年海棠	0	11	115	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1046	1046													31	10	10															
易容面具-青年金锋	0	11	116	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1047	1047													31	10	10															
易容面具-成年雷剑	0	11	117	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1061	1061													31	10	10															
易容面具-成年笑霜	0	11	118	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1062	1062													31	10	10															
易容面具-成年火刃	0	11	119	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1063	1063													31	10	10															
易容面具-成年海棠	0	11	120	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1064	1064													31	10	10															
易容面具-成年金锋	0	11	121	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1065	1065													31	10	10															
易容面具-圣诞精灵(绿)	0	11	122	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1121	1121													31	1	1															
易容面具-新年侠客	0	11	123	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1122	1122													31	1	1															
易容面具-新年侠女	0	11	124	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1123	1123													31	1	1															
易容面具-雪兔	0	11	125	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1124	1124													31	1	1															
易容面具-驯鹿	0	11	126	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1125	1125													31	1	1															
易容面具-圣诞精灵(蓝)	0	11	127	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1126	1126													31	1	1															
易容面具-圣诞精灵(紫)	0	11	128	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1127	1127													31	1	1															
易容面具-圣诞精灵(红)	0	11	129	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1128	1128													31	1	1															
易容面具-圣诞精灵(黄)	0	11	130	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1129	1129													31	1	1															
易容面具-圣诞老人(蓝)	0	11	131	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1130	1130													31	1	1															
易容面具-圣诞老人(粉)	0	11	132	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1131	1131													31	1	1															
易容面具-圣诞老人(白)	0	11	133	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1132	1132													31	1	1															
易容面具-圣诞老人(黄)	0	11	134	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1133	1133													31	1	1															
易容面具-圣诞天使(蓝)	0	11	135	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1134	1134													31	1	1															
易容面具-圣诞天使(粉)	0	11	136	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1135	1135													31	1	1															
易容面具-圣诞天使(白)	0	11	137	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1136	1136													31	1	1															
易容面具-圣诞天使(黄)	0	11	138	\spr\item\equip\mask\yrmj_01.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1137	1137													31	1	1															
易容面具-张宗正	0	11	139	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		511	511													44	43200	43200															
易容面具-妙如	0	11	140	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		513	513													44	43200	43200															
易容面具-柳青青	0	11	141	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		523	523													44	43200	43200															
易容面具-扇客	0	11	142	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		602	602													44	43200	43200															
