szName	nQuality	nItemGenre	nDetailType	nParticularType	nLevel	nSeries	nLuckly	nRate
森荒之飞星夺魂碎片(4/9)	0	4	669	1	1	0	0	900
森荒之飞星夺魂碎片(5/9)	0	4	670	1	1	0	0	900
森荒之飞星夺魂碎片(6/9)	0	4	671	1	1	0	0	900
森荒之飞星夺魂碎片(7/9)	0	4	672	1	1	0	0	900
森荒之飞星夺魂碎片(8/9)	0	4	673	1	1	0	0	900
森荒之飞星夺魂碎片(9/9)	0	4	674	1	1	0	0	900
无魇之洗象玉扣碎片(1/6)	0	4	801	1	1	0	0	900
无魇之洗象玉扣碎片(2/6)	0	4	802	1	1	0	0	900
无魇之洗象玉扣碎片(3/6)	0	4	803	1	1	0	0	900
无魇之洗象玉扣碎片(4/6)	0	4	804	1	1	0	0	900
无魇之洗象玉扣碎片(5/6)	0	4	805	1	1	0	0	900
无魇之洗象玉扣碎片(6/6)	0	4	806	1	1	0	0	900
无魇之红缁软禢鞋碎片(1/6)	0	4	807	1	1	0	0	1200
无魇之红缁软禢鞋碎片(2/6)	0	4	808	1	1	0	0	1200
无魇之红缁软禢鞋碎片(3/6)	0	4	809	1	1	0	0	1200
无魇之红缁软禢鞋碎片(4/6)	0	4	810	1	1	0	0	1200
无魇之红缁软禢鞋碎片(5/6)	0	4	811	1	1	0	0	1200
无魇之红缁软禢鞋碎片(6/6)	0	4	812	1	1	0	0	1200
无间之倚天剑碎片(1/9)	0	4	621	1	1	0	0	600
无间之倚天剑碎片(2/9)	0	4	622	1	1	0	0	600
无间之倚天剑碎片(3/9)	0	4	623	1	1	0	0	600
无间之倚天剑碎片(4/9)	0	4	624	1	1	0	0	600
无间之倚天剑碎片(5/9)	0	4	625	1	1	0	0	600
无间之倚天剑碎片(6/9)	0	4	626	1	1	0	0	600
无间之倚天剑碎片(7/9)	0	4	627	1	1	0	0	600
无间之倚天剑碎片(8/9)	0	4	628	1	1	0	0	600
无间之倚天剑碎片(9/9)	0	4	629	1	1	0	0	600
栖凰之凤仪刀碎片(1/9)	0	4	630	1	1	0	0	1200
栖凰之凤仪刀碎片(2/9)	0	4	631	1	1	0	0	1200
栖凰之凤仪刀碎片(3/9)	0	4	632	1	1	0	0	1200
栖凰之凤仪刀碎片(4/9)	0	4	633	1	1	0	0	1200
栖凰之凤仪刀碎片(5/9)	0	4	634	1	1	0	0	1200
栖凰之凤仪刀碎片(6/9)	0	4	635	1	1	0	0	1200
栖凰之凤仪刀碎片(7/9)	0	4	636	1	1	0	0	1200
栖凰之凤仪刀碎片(8/9)	0	4	637	1	1	0	0	1200
栖凰之凤仪刀碎片(9/9)	0	4	638	1	1	0	0	1200
栖凰之冰踪锦腕碎片(1/6)	0	4	1055	1	1	0	0	1200
栖凰之冰踪锦腕碎片(2/6)	0	4	1056	1	1	0	0	1200
栖凰之冰踪锦腕碎片(3/6)	0	4	1057	1	1	0	0	1200
栖凰之冰踪锦腕碎片(4/6)	0	4	1058	1	1	0	0	1200
栖凰之冰踪锦腕碎片(5/6)	0	4	1059	1	1	0	0	1200
栖凰之冰踪锦腕碎片(6/6)	0	4	1060	1	1	0	0	1200
魔煞之鬼谷幽冥枪碎片(1/9)	0	4	684	1	1	0	0	1200
魔煞之鬼谷幽冥枪碎片(2/9)	0	4	685	1	1	0	0	1200
魔煞之鬼谷幽冥枪碎片(3/9)	0	4	686	1	1	0	0	1200
魔煞之鬼谷幽冥枪碎片(4/9)	0	4	687	1	1	0	0	1200
魔煞之鬼谷幽冥枪碎片(5/9)	0	4	688	1	1	0	0	1200
魔煞之鬼谷幽冥枪碎片(6/9)	0	4	689	1	1	0	0	1200
魔煞之鬼谷幽冥枪碎片(7/9)	0	4	690	1	1	0	0	1200
魔煞之鬼谷幽冥枪碎片(8/9)	0	4	691	1	1	0	0	1200
魔煞之鬼谷幽冥枪碎片(9/9)	0	4	692	1	1	0	0	1200
魔嗜之山海飞鸿履碎片(1/6)	0	4	873	1	1	0	0	1800
魔嗜之山海飞鸿履碎片(2/6)	0	4	874	1	1	0	0	1800
魔嗜之山海飞鸿履碎片(3/6)	0	4	875	1	1	0	0	1800
魔嗜之山海飞鸿履碎片(4/6)	0	4	876	1	1	0	0	1800
魔嗜之山海飞鸿履碎片(5/6)	0	4	877	1	1	0	0	1800
魔嗜之山海飞鸿履碎片(6/6)	0	4	878	1	1	0	0	1800
同仇之降龙丐衣碎片(1/6)	0	4	849	1	1	0	0	3600
同仇之降龙丐衣碎片(2/6)	0	4	850	1	1	0	0	3600
同仇之降龙丐衣碎片(3/6)	0	4	851	1	1	0	0	3600
同仇之降龙丐衣碎片(4/6)	0	4	852	1	1	0	0	3600
同仇之降龙丐衣碎片(5/6)	0	4	853	1	1	0	0	3600
同仇之降龙丐衣碎片(6/6)	0	4	854	1	1	0	0	3600
同仇之亢龙护手碎片(1/6)	0	4	855	1	1	0	0	960
同仇之亢龙护手碎片(2/6)	0	4	856	1	1	0	0	960
同仇之亢龙护手碎片(3/6)	0	4	857	1	1	0	0	960
同仇之亢龙护手碎片(4/6)	0	4	858	1	1	0	0	960
同仇之亢龙护手碎片(5/6)	0	4	859	1	1	0	0	960
同仇之亢龙护手碎片(6/6)	0	4	860	1	1	0	0	960
敌忾之绿玉杖碎片(1/9)	0	4	675	1	1	0	0	840
敌忾之绿玉杖碎片(2/9)	0	4	676	1	1	0	0	840
敌忾之绿玉杖碎片(3/9)	0	4	677	1	1	0	0	840
敌忾之绿玉杖碎片(4/9)	0	4	678	1	1	0	0	840
敌忾之绿玉杖碎片(5/9)	0	4	679	1	1	0	0	840
敌忾之绿玉杖碎片(6/9)	0	4	680	1	1	0	0	840
敌忾之绿玉杖碎片(7/9)	0	4	681	1	1	0	0	840
敌忾之绿玉杖碎片(8/9)	0	4	682	1	1	0	0	840
敌忾之绿玉杖碎片(9/9)	0	4	683	1	1	0	0	840
雷穹之寒松冰柏冠碎片(1/6)	0	4	1004	1	1	0	0	240
雷穹之寒松冰柏冠碎片(2/6)	0	4	1005	1	1	0	0	240
雷穹之寒松冰柏冠碎片(3/6)	0	4	1006	1	1	0	0	240
雷穹之寒松冰柏冠碎片(4/6)	0	4	1007	1	1	0	0	240
雷穹之寒松冰柏冠碎片(5/6)	0	4	1008	1	1	0	0	240
雷穹之寒松冰柏冠碎片(6/6)	0	4	1009	1	1	0	0	240
霜晶之千年寒铁碎片(1/9)	0	4	702	1	1	0	0	960
霜晶之千年寒铁碎片(2/9)	0	4	703	1	1	0	0	960
霜晶之千年寒铁碎片(3/9)	0	4	704	1	1	0	0	960
霜晶之千年寒铁碎片(4/9)	0	4	705	1	1	0	0	960
霜晶之千年寒铁碎片(5/9)	0	4	706	1	1	0	0	960
霜晶之千年寒铁碎片(6/9)	0	4	707	1	1	0	0	960
霜晶之千年寒铁碎片(7/9)	0	4	708	1	1	0	0	960
霜晶之千年寒铁碎片(8/9)	0	4	709	1	1	0	0	960
霜晶之千年寒铁碎片(9/9)	0	4	710	1	1	0	0	960
及丰之真武剑碎片(1/9)	0	4	693	1	1	0	0	360
及丰之真武剑碎片(2/9)	0	4	694	1	1	0	0	360
及丰之真武剑碎片(3/9)	0	4	695	1	1	0	0	360
及丰之真武剑碎片(4/9)	0	4	696	1	1	0	0	360
及丰之真武剑碎片(5/9)	0	4	697	1	1	0	0	360
及丰之真武剑碎片(6/9)	0	4	698	1	1	0	0	360
及丰之真武剑碎片(7/9)	0	4	699	1	1	0	0	360
及丰之真武剑碎片(8/9)	0	4	700	1	1	0	0	360
及丰之真武剑碎片(9/9)	0	4	701	1	1	0	0	360
凌岳之无极玄玉佩碎片(1/6)	0	4	879	1	1	0	0	600
凌岳之无极玄玉佩碎片(2/6)	0	4	880	1	1	0	0	600
凌岳之无极玄玉佩碎片(3/6)	0	4	881	1	1	0	0	600
凌岳之无极玄玉佩碎片(4/6)	0	4	882	1	1	0	0	600
凌岳之无极玄玉佩碎片(5/6)	0	4	883	1	1	0	0	600
凌岳之无极玄玉佩碎片(6/6)	0	4	884	1	1	0	0	600
不中奖	-1	-1	-1	-1	-1	-1	-1	0
总计	-1	-1	-1	-1	-1	-1	-1	1000000
